# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 0
# model = rus
# method = optimize
#   optimize
#     algorithm = lbfgs (Default)
#       lbfgs
#         init_alpha = 0.001 (Default)
#         tol_obj = 9.9999999999999998e-13 (Default)
#         tol_rel_obj = 10000 (Default)
#         tol_grad = 1e-08 (Default)
#         tol_rel_grad = 10000000 (Default)
#         tol_param = 1e-08 (Default)
#         history_size = 5 (Default)
#     iter = 500
#     save_iterations = 1
#     laplace_draws = 250
#     laplace_diag_shift = 0 (Default)
# id = 0 (Default)
# data
#   file = VB-LA_datafiles_VB1-v2/datafile_VB1-v2_25N.dat
# init = init-cij-tbc1.dat
# random
#   seed = 1515899105 (Default)
# output
#   file = VB-LA_outputs_VB1-v2/output_VB1-v2_25N_init-cij-tbc1_1.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,c44_coat,c11_coat,c33_coat,c12_coat,c13_coat,sigma,c66_coat,ct1_coat,Ep,Et,vp,vtp,vpt,Gt,Gp,Csub.1.1,Csub.2.1,Csub.3.1,Csub.4.1,Csub.5.1,Csub.6.1,Csub.1.2,Csub.2.2,Csub.3.2,Csub.4.2,Csub.5.2,Csub.6.2,Csub.1.3,Csub.2.3,Csub.3.3,Csub.4.3,Csub.5.3,Csub.6.3,Csub.1.4,Csub.2.4,Csub.3.4,Csub.4.4,Csub.5.4,Csub.6.4,Csub.1.5,Csub.2.5,Csub.3.5,Csub.4.5,Csub.5.5,Csub.6.5,Csub.1.6,Csub.2.6,Csub.3.6,Csub.4.6,Csub.5.6,Csub.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,yhat.16,yhat.17,yhat.18,yhat.19,yhat.20,yhat.21,yhat.22,yhat.23,yhat.24,yhat.25,residual.1,residual.2,residual.3,residual.4,residual.5,residual.6,residual.7,residual.8,residual.9,residual.10,residual.11,residual.12,residual.13,residual.14,residual.15,residual.16,residual.17,residual.18,residual.19,residual.20,residual.21,residual.22,residual.23,residual.24,residual.25,calcfq.1,calcfq.2,calcfq.3,calcfq.4,calcfq.5,calcfq.6,calcfq.7,calcfq.8,calcfq.9,calcfq.10,calcfq.11,calcfq.12,calcfq.13,calcfq.14,calcfq.15,calcfq.16,calcfq.17,calcfq.18,calcfq.19,calcfq.20,calcfq.21,calcfq.22,calcfq.23,calcfq.24,calcfq.25
-1293.7,0.15,0.5,0.5,0.1,0.1,0.005,0.2,0.48,0.466667,0.466667,0.166667,0.166667,0.166667,0.15,0.2,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.83616,9.19252,9.21811,13.1125,13.8376,22.726,24.8408,25.1921,28.2223,29.0133,37.115,38.0069,38.6327,46.5316,46.6896,46.9799,48.8757,49.4051,49.3898,51.7484,57.6315,58.435,63.5283,65.8972,66.1199,-0.362471,-0.399146,-0.523594,-0.894078,-0.843232,-1.54218,-1.4538,-1.28044,-1.50122,-1.6796,-2.50765,-2.36812,-0.69607,-1.95139,-2.16723,-1.68905,-2.16298,-2.57195,-1.48641,-3.22523,-3.43396,-3.37767,-1.00641,-1.05971,-0.790418,4.87347,9.25915,9.28859,13.0521,13.7162,22.7362,25.0438,25.1004,28.1842,28.7906,37.0267,38.2511,38.5341,46.2584,46.6712,47.27,49.105,49.885,49.9514,51.9992,57.589,58.5277,63.7434,65.4867,66.0974
-53.0751,0.138852,0.438461,0.487755,0.291599,0.195103,0.00545842,0.0734314,0.36042,0.233882,0.383475,0.592523,0.267243,0.162992,0.138852,0.0734314,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.24151,8.60741,9.13094,12.0416,12.4844,20.6447,24.2319,24.3156,26.2683,27.6675,34.1313,35.4341,36.8468,44.5447,45.175,45.7383,47.7294,47.9203,48.3886,48.2161,53.9869,55.9723,63.1254,65.0481,65.2259,0.275217,0.220661,-0.381602,0.189319,0.263594,0.505997,-0.497882,-0.349044,0.525889,-0.56053,0.177319,0.335461,0.878119,-0.172311,-0.446389,-0.330293,-0.295865,-0.46515,0.297482,0.269908,0.0976519,-0.529703,-0.0634578,-0.141728,-0.318077,4.23578,8.63934,9.1466,11.9687,12.6094,20.688,24.0879,24.169,26.1571,27.6715,34.3417,35.5475,36.9599,44.4793,44.9504,45.9113,47.2379,47.7781,48.1675,48.5041,54.0573,55.6797,62.8005,64.5687,65.6251
49.156,0.139685,0.443376,0.48827,0.230908,0.208255,0.0054909,0.106234,0.354553,0.297614,0.35963,0.400742,0.308853,0.255593,0.139685,0.106234,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.41555,8.78168,8.99841,12.2272,12.7995,21.1151,24.1905,24.2034,26.4939,27.8569,35.124,36.062,37.3377,44.9312,45.2632,45.5171,47.4995,48.0634,48.6097,49.5379,54.76,56.2363,62.2624,64.85,65.696,0.0910335,0.0617474,-0.26068,-0.056062,-0.00535467,0.0174126,-0.547374,-0.383496,0.0262726,-0.588278,-0.367953,-0.267899,0.474192,-0.503695,-0.651459,-0.357714,-0.623329,-0.737841,-0.00107286,-0.409617,-0.62079,-0.91328,-0.204696,-0.361955,-0.206895,4.41997,8.79825,9.02568,12.2141,12.8784,21.1766,24.1374,24.2035,26.6567,27.6993,34.887,36.1509,37.3638,44.8107,45.1555,45.9387,47.5653,48.0508,48.4661,49.1836,54.7758,56.0633,62.9417,64.789,65.5139
104.181,0.138702,0.438903,0.486354,0.208467,0.248603,0.00554803,0.115218,0.311828,0.290583,0.295417,0.261017,0.38402,0.377736,0.138702,0.115218,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.4702,8.76908,8.76535,12.2098,12.9744,21.1454,23.7023,23.9452,26.6561,27.4118,34.689,35.9056,37.7433,44.4086,44.6862,45.6782,47.2281,47.507,48.011,49.1616,55.1025,55.3815,61.8566,64.5053,65.0729,0.0484823,0.0639161,-0.0528332,-0.0221938,0.00092011,0.0291202,-0.285805,-0.11448,0.021233,-0.212836,-0.208594,-0.180847,0.374496,-0.186366,-0.336383,-0.0851638,-0.311025,-0.34357,0.0445077,-0.198833,-0.427319,-0.43305,-0.0718664,-0.270001,-0.0104068,4.46252,8.79608,8.81783,12.1802,12.8721,21.1649,23.8758,23.9345,26.6618,27.3238,34.7276,36.0638,37.4635,44.4934,44.8404,45.6662,47.253,47.6566,48.4205,48.9728,54.5823,55.583,62.8089,64.697,65.3174
108.668,0.138422,0.437769,0.485642,0.202282,0.262525,0.00555809,0.117743,0.295855,0.283537,0.270286,0.204045,0.410163,0.430272,0.138422,0.117743,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.45942,8.72674,8.78502,12.1717,12.8708,20.9484,23.8014,23.7679,26.6647,27.0796,34.6817,36.1967,37.6175,44.554,44.585,45.2034,46.883,47.9099,48.6406,48.6645,54.4009,55.2618,62.7045,65.0961,65.6567,0.0374471,0.143704,-0.0470915,0.000501269,0.0132362,0.0498892,-0.179758,-0.00663071,0.0380489,-0.0612487,-0.126495,-0.126027,0.347675,-0.0430247,-0.16292,-0.0179781,-0.162643,-0.17496,0.0630089,-0.0940789,-0.326985,-0.227936,-0.0123326,-0.197309,0.02978,4.47355,8.7163,8.81209,12.1575,12.8598,21.1441,23.7698,23.8266,26.645,27.1722,34.6455,36.009,37.4903,44.35,44.6669,45.599,47.1046,47.488,48.402,48.8681,54.482,55.3779,62.7493,64.6243,65.2772
108.682,0.138407,0.43771,0.48563,0.202617,0.262609,0.00555787,0.117546,0.295702,0.283279,0.27023,0.204968,0.410116,0.429921,0.138407,0.117546,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.43009,8.76761,8.7526,12.1159,12.8216,21.2029,24.0685,23.8408,26.5688,27.1778,34.4293,36.1264,37.6162,44.0997,44.9472,45.9992,47.4415,47.1934,48.8855,48.798,54.6428,55.265,62.5985,64.4048,64.8062,0.0384745,0.143711,-0.0461196,0.00212859,0.0149052,0.0530807,-0.178497,-0.00539612,0.0411026,-0.0598294,-0.122398,-0.121852,0.350101,-0.0401119,-0.161019,-0.0160914,-0.15957,-0.171998,0.0651184,-0.0887115,-0.321553,-0.223822,-0.0111297,-0.196633,0.0309927,4.47253,8.71629,8.81112,12.1559,12.8581,21.1409,23.7685,23.8254,26.6419,27.1708,34.6414,36.0049,37.4879,44.3471,44.665,45.5971,47.1016,47.485,48.3999,48.8627,54.4766,55.3738,62.7481,64.6236,65.276
108.691,0.138377,0.437611,0.485619,0.203232,0.262559,0.00555698,0.117189,0.295654,0.282954,0.270474,0.207252,0.409709,0.428613,0.138377,0.117189,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.47583,8.57465,8.76685,12.1792,12.7842,21.0162,23.8833,23.8107,26.6586,27.2901,34.9558,35.9504,37.621,44.2863,45.0161,45.3637,47.0832,47.5302,48.258,49.0492,54.3258,55.1782,62.252,64.5414,65.4191,0.0403088,0.142641,-0.0445407,0.00451308,0.0174924,0.0580722,-0.177782,-0.00474595,0.0459092,-0.0594408,-0.1167,-0.115675,0.354442,-0.0371742,-0.160208,-0.0137417,-0.156444,-0.169284,0.0683758,-0.0811955,-0.313877,-0.219667,-0.00992122,-0.196541,0.0325808,4.47069,8.71736,8.80954,12.1535,12.8555,21.1359,23.7678,23.8247,26.6371,27.1704,34.6357,35.9987,37.4836,44.3442,44.6642,45.5947,47.0984,47.4823,48.3966,48.8552,54.4689,55.3697,62.7469,64.6235,65.2744
108.698,0.13826,0.437365,0.485636,0.203252,0.2623,0.00555139,0.117057,0.295693,0.282869,0.27084,0.208256,0.409448,0.427634,0.13826,0.117057,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.49191,8.70137,8.82068,12.0909,12.8346,20.974,23.7134,23.6837,26.6805,27.251,34.6252,35.8552,37.1797,44.1382,44.264,45.5872,46.855,47.2749,48.687,48.7548,54.6604,55.3043,63.2297,64.7339,64.9832,0.0409933,0.141975,-0.0439928,0.00528821,0.0183737,0.0598143,-0.177856,-0.00484845,0.0475997,-0.0597534,-0.11483,-0.113548,0.35605,-0.0364795,-0.160415,-0.0130846,-0.155686,-0.168721,0.0694858,-0.0786388,-0.311235,-0.218599,-0.00968046,-0.196754,0.033061,4.47001,8.71803,8.80899,12.1527,12.8546,21.1342,23.7679,23.8248,26.6354,27.1708,34.6338,35.9965,37.482,44.3435,44.6644,45.5941,47.0977,47.4817,48.3955,48.8526,54.4662,55.3686,62.7467,64.6238,65.2739
108.735,0.137576,0.435969,0.485748,0.202501,0.26091,0.00551827,0.116734,0.295826,0.282681,0.272507,0.210796,0.408649,0.423905,0.137576,0.116734,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.49697,8.65687,8.87175,12.141,12.8761,21.0602,23.6967,23.767,26.6224,27.0633,34.8726,35.8528,37.4171,44.2392,44.705,45.7051,47.07,47.6271,48.3257,48.6837,54.0326,55.8052,63.345,64.4209,64.6492,0.0426832,0.140192,-0.0426705,0.00718877,0.0205484,0.0642298,-0.178084,-0.00515226,0.0519046,-0.060524,-0.109872,-0.107944,0.359967,-0.0344529,-0.160766,-0.0114683,-0.153452,-0.166951,0.0722397,-0.0715958,-0.303916,-0.21521,-0.00912252,-0.197313,0.0342859,4.46832,8.71981,8.80767,12.1508,12.8525,21.1298,23.7681,23.8252,26.6311,27.1715,34.6289,35.9909,37.478,44.3415,44.6648,45.5925,47.0955,47.48,48.3928,48.8456,54.4589,55.3652,62.7461,64.6243,65.2727
108.839,0.135353,0.431468,0.486167,0.198969,0.256493,0.00541035,0.116249,0.296146,0.282467,0.277458,0.214918,0.40685,0.414195,0.135353,0.116249,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.44771,8.65682,8.80545,12.1218,12.8551,21.0077,23.4733,23.6983,26.6082,27.166,34.6648,35.8518,37.7014,44.527,44.7975,45.2559,46.8215,47.549,48.4063,48.6739,54.8107,55.7902,62.6859,64.6508,65.8515,0.0452995,0.136999,-0.0407181,0.0100846,0.0239071,0.0714021,-0.178595,-0.00579399,0.0589608,-0.0617377,-0.101188,-0.0982106,0.365878,-0.0303927,-0.160857,-0.00899047,-0.14892,-0.163086,0.076545,-0.0585068,-0.290195,-0.207712,-0.00837646,-0.198283,0.0362928,4.4657,8.723,8.80572,12.1479,12.8491,21.1226,23.7686,23.8258,26.624,27.1727,34.6202,35.9812,37.4721,44.3374,44.6649,45.59,47.0909,47.4761,48.3885,48.8325,54.4452,55.3577,62.7454,64.6253,65.2707
