# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 0
# model = rus
# method = optimize
#   optimize
#     algorithm = lbfgs (Default)
#       lbfgs
#         init_alpha = 0.001 (Default)
#         tol_obj = 9.9999999999999998e-13 (Default)
#         tol_rel_obj = 10000 (Default)
#         tol_grad = 1e-08 (Default)
#         tol_rel_grad = 10000000 (Default)
#         tol_param = 1e-08 (Default)
#         history_size = 5 (Default)
#     iter = 500
#     save_iterations = 1
#     laplace_draws = 250
#     laplace_diag_shift = 0 (Default)
# id = 0 (Default)
# data
#   file = VB-LA_datafiles_VB1-v2/datafile_VB1-v2_40N.dat
# init = init-cij-tbc1.dat
# random
#   seed = 1580115545 (Default)
# output
#   file = VB-LA_outputs_VB1-v2/output_VB1-v2_40N_init-cij-tbc1_1.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,c44_coat,c11_coat,c33_coat,c12_coat,c13_coat,sigma,c66_coat,ct1_coat,Ep,Et,vp,vtp,vpt,Gt,Gp,Csub.1.1,Csub.2.1,Csub.3.1,Csub.4.1,Csub.5.1,Csub.6.1,Csub.1.2,Csub.2.2,Csub.3.2,Csub.4.2,Csub.5.2,Csub.6.2,Csub.1.3,Csub.2.3,Csub.3.3,Csub.4.3,Csub.5.3,Csub.6.3,Csub.1.4,Csub.2.4,Csub.3.4,Csub.4.4,Csub.5.4,Csub.6.4,Csub.1.5,Csub.2.5,Csub.3.5,Csub.4.5,Csub.5.5,Csub.6.5,Csub.1.6,Csub.2.6,Csub.3.6,Csub.4.6,Csub.5.6,Csub.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,yhat.16,yhat.17,yhat.18,yhat.19,yhat.20,yhat.21,yhat.22,yhat.23,yhat.24,yhat.25,yhat.26,yhat.27,yhat.28,yhat.29,yhat.30,yhat.31,yhat.32,yhat.33,yhat.34,yhat.35,yhat.36,yhat.37,yhat.38,yhat.39,yhat.40,residual.1,residual.2,residual.3,residual.4,residual.5,residual.6,residual.7,residual.8,residual.9,residual.10,residual.11,residual.12,residual.13,residual.14,residual.15,residual.16,residual.17,residual.18,residual.19,residual.20,residual.21,residual.22,residual.23,residual.24,residual.25,residual.26,residual.27,residual.28,residual.29,residual.30,residual.31,residual.32,residual.33,residual.34,residual.35,residual.36,residual.37,residual.38,residual.39,residual.40,calcfq.1,calcfq.2,calcfq.3,calcfq.4,calcfq.5,calcfq.6,calcfq.7,calcfq.8,calcfq.9,calcfq.10,calcfq.11,calcfq.12,calcfq.13,calcfq.14,calcfq.15,calcfq.16,calcfq.17,calcfq.18,calcfq.19,calcfq.20,calcfq.21,calcfq.22,calcfq.23,calcfq.24,calcfq.25,calcfq.26,calcfq.27,calcfq.28,calcfq.29,calcfq.30,calcfq.31,calcfq.32,calcfq.33,calcfq.34,calcfq.35,calcfq.36,calcfq.37,calcfq.38,calcfq.39,calcfq.40
-1913.16,0.15,0.5,0.5,0.1,0.1,0.005,0.2,0.48,0.466667,0.466667,0.166667,0.166667,0.166667,0.15,0.2,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.86908,9.16683,9.29839,12.9438,13.6641,22.7477,25.0233,25.1791,28.0866,28.8934,36.9857,38.2416,38.5013,46.3283,46.3395,47.2997,49.3389,49.9522,50.1545,51.9209,57.5062,58.9444,64.0128,66.1407,66.2905,71.113,71.8287,72.3782,73.1613,73.735,75.2701,76.2262,77.6596,78.5712,83.21,83.6516,89.2973,92.1267,93.8276,95.3861,-0.362471,-0.399146,-0.523594,-0.894078,-0.843232,-1.54218,-1.4538,-1.28044,-1.50122,-1.6796,-2.50765,-2.36812,-0.69607,-1.95139,-2.16723,-1.68905,-2.16298,-2.57195,-1.48641,-3.22523,-3.43396,-3.37767,-1.00641,-1.05971,-0.790418,-4.62126,-4.00381,-2.68674,-3.46055,-2.82369,-3.61155,-3.86974,-1.43036,-2.00043,-4.19776,-4.71524,-5.36218,-2.70396,-4.90149,-4.1326,4.87347,9.25915,9.28859,13.0521,13.7162,22.7362,25.0438,25.1004,28.1842,28.7906,37.0267,38.2511,38.5341,46.2584,46.6712,47.27,49.105,49.885,49.9514,51.9992,57.589,58.5277,63.7434,65.4867,66.0974,70.3223,71.6628,72.5217,73.8326,74.1837,75.6865,76.1907,77.2364,78.3674,83.2178,83.5792,89.2422,91.387,93.9215,94.6366
37.4951,0.139143,0.441753,0.488126,0.26917,0.189791,0.00544394,0.0862917,0.367959,0.26422,0.386792,0.530972,0.266964,0.182365,0.139143,0.0862917,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.29474,8.73667,9.1072,12.0773,12.7694,20.9976,24.2655,24.1334,26.5194,27.8877,34.4946,35.6295,37.4012,44.1846,45.1122,46.2407,47.849,47.8499,48.062,48.4516,54.8632,55.7941,62.4901,64.6149,65.4317,66.9955,67.7371,70.9355,71.7983,71.9644,72.2132,74.0548,75.6583,76.1693,80.1673,80.3897,84.2837,88.2331,90.0501,91.4393,0.199773,0.150938,-0.37698,0.0687932,0.138462,0.277619,-0.58048,-0.426597,0.297998,-0.659466,-0.110682,0.0367967,0.716852,-0.396953,-0.578576,-0.438145,-0.507996,-0.678785,0.139296,-0.0904353,-0.278319,-0.817091,-0.15803,-0.246292,-0.337838,-0.734455,-0.110891,-0.986987,-1.33983,-0.648625,-0.393892,-1.76415,0.143259,0.349144,-0.835722,-1.42901,-0.668747,0.314902,-1.02927,-0.861773,4.31123,8.70906,9.14198,12.0892,12.7345,20.9164,24.1705,24.2466,26.385,27.7705,34.6297,35.8462,37.1211,44.704,45.0826,46.0191,47.45,47.9918,48.3257,48.8644,54.4333,55.9671,62.895,64.6733,65.6448,66.4355,67.7699,70.822,71.7118,72.0086,72.4689,74.0852,75.6627,76.0179,79.8557,80.293,84.5487,88.3681,90.0493,91.3658
121.07,0.138091,0.437093,0.486222,0.251574,0.228548,0.00548833,0.0927598,0.329665,0.266638,0.334526,0.437248,0.33187,0.26452,0.138091,0.0927598,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.35786,8.74229,8.96028,12.2046,12.7566,20.9643,23.9896,24.2973,26.3656,27.4986,34.8577,35.733,37.0975,44.5884,44.4154,45.832,47.1229,47.3564,48.138,48.6014,54.2868,55.9677,63.1046,64.6989,65.8503,66.324,67.5619,71.0958,71.6198,71.6399,71.1836,73.4223,76.115,75.7666,79.9397,79.8805,84.1332,87.6036,89.8884,90.8908,0.166903,0.141743,-0.194399,0.0955911,0.142437,0.294192,-0.362742,-0.200482,0.291063,-0.353076,0.0290397,0.116598,0.64522,-0.148585,-0.419897,-0.102593,-0.27403,-0.363158,0.202179,0.104432,-0.100252,-0.418718,-0.0549419,-0.238548,-0.0870572,-0.404735,0.113812,-0.877666,-0.815892,-0.132353,-0.11549,-1.13087,0.200827,0.311988,-0.367925,-0.960313,-0.289049,0.23026,-0.671019,-0.52934,4.3441,8.71826,8.9594,12.0624,12.7306,20.8998,23.9527,24.0205,26.3919,27.4641,34.49,35.7664,37.1928,44.4556,44.9239,45.6836,47.216,47.6762,48.2628,48.6696,54.2553,55.5687,62.7919,64.6655,65.3941,66.1057,67.5452,70.7127,71.1879,71.4924,72.1905,73.4519,75.6052,76.055,79.3879,79.8243,84.169,88.4527,89.691,91.0333
174.626,0.137288,0.433974,0.48429,0.213128,0.272008,0.00554825,0.110423,0.281197,0.268244,0.255613,0.214619,0.420349,0.44112,0.137288,0.110423,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.48346,8.60144,8.7776,12.0878,12.6478,21.0016,23.7214,23.6868,26.5131,27.025,34.3251,35.8686,37.4083,44.0428,44.6549,45.0653,46.8438,47.5706,48.4892,48.764,54.2022,54.6794,63.112,64.6239,64.9114,65.7726,67.2043,70.3105,70.2831,71.2191,71.5051,73.2516,76.4583,77.6665,79.1861,79.3102,84.7628,88.9597,90.183,90.1573,0.0771633,0.187118,-0.00358553,0.0841956,0.0933661,0.201684,-0.0698306,0.102899,0.18186,0.0794214,0.0971856,0.0869561,0.440122,0.161039,0.0151546,0.0937764,0.0517985,0.0426856,0.166506,0.194164,-0.0346534,0.0602875,0.0712795,-0.126563,0.099156,-0.136521,0.205344,-0.440154,-0.177963,0.292653,0.171031,-0.220954,0.1611,0.0944559,0.162044,-0.411269,-0.02135,-0.0549029,-0.441221,-0.087268,4.43384,8.67288,8.76859,12.0738,12.7796,20.9923,23.6598,23.7171,26.5011,27.0316,34.4218,35.796,37.3979,44.146,44.4888,45.4872,46.8902,47.2703,48.2985,48.5798,54.1897,55.0897,62.6657,64.5536,65.2078,65.8375,67.4537,70.2752,70.55,71.0673,71.904,72.542,75.6449,76.2725,78.858,79.2753,83.9013,88.7379,89.4612,90.5913
179.021,0.137393,0.434484,0.484588,0.208473,0.267969,0.00555512,0.113005,0.286302,0.273606,0.261223,0.210587,0.416775,0.436531,0.137393,0.113005,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.4449,8.82205,8.74895,12.0416,12.6674,21.0606,24.003,23.8799,26.6205,27.1186,34.6784,36.1311,37.1667,43.8218,44.5247,46.0523,47.113,47.1564,48.4871,48.8841,54.2716,55.059,62.4359,64.268,65.0812,66.7793,67.0523,70.3455,70.1395,71.6096,71.7035,72.0148,75.2671,75.6792,79.2539,80.0474,84.3462,89.0577,89.8484,90.0569,0.0630918,0.172102,-0.0189097,0.0547509,0.065158,0.148283,-0.108133,0.0647443,0.131339,0.0304641,0.0188259,0.0122853,0.407519,0.0898605,-0.0469508,0.0549768,-0.0230562,-0.0329756,0.129453,0.094349,-0.136803,-0.0400014,0.0421019,-0.151163,0.0748723,-0.271675,0.0771893,-0.538487,-0.277247,0.246185,0.05968,-0.326119,0.118079,0.0332077,0.0340347,-0.537136,-0.184727,-0.137143,-0.597451,-0.232969,4.44791,8.6879,8.78391,12.1032,12.8078,21.0457,23.6981,23.7553,26.5517,27.0805,34.5002,35.8707,37.4305,44.2171,44.551,45.526,46.9651,47.346,48.3355,48.6797,54.2918,55.19,62.6949,64.5782,65.2321,65.9727,67.5818,70.3735,70.6492,71.1138,72.0153,72.6471,75.6879,76.3338,78.986,79.4011,84.0647,88.8201,89.6175,90.737
180.009,0.137422,0.434687,0.484682,0.204109,0.26744,0.00556032,0.115289,0.287118,0.275984,0.260748,0.196924,0.418662,0.443125,0.137422,0.115289,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.43097,8.63669,8.84354,12.0818,12.6248,20.9743,23.3905,24.054,26.4623,27.2115,34.8188,36.187,37.2302,43.8087,44.4392,45.2046,46.961,47.3897,48.7482,49.0408,54.9429,55.2759,62.7303,64.52,65.3445,66.2158,67.7752,70.1004,70.5575,70.8136,72.1967,72.3863,75.7223,75.9691,79.5983,79.8534,83.896,88.6376,89.8877,91.032,0.0512017,0.176622,-0.0294681,0.0381692,0.0475577,0.114443,-0.116114,0.0571366,0.0989272,0.0232335,-0.0215034,-0.0303938,0.379606,0.0660117,-0.0573878,0.037293,-0.0482529,-0.0559693,0.106884,0.0419319,-0.190656,-0.0736495,0.0322746,-0.153916,0.0630065,-0.334536,0.0102737,-0.561924,-0.302446,0.226591,0.0133994,-0.342733,0.0913967,-0.0112198,-0.0126847,-0.581529,-0.264102,-0.194732,-0.674743,-0.293763,4.4598,8.68338,8.79447,12.1198,12.8254,21.0796,23.7061,23.7629,26.5841,27.0878,34.5405,35.9134,37.4584,44.241,44.5614,45.5437,46.9903,47.369,48.3581,48.7321,54.3457,55.2236,62.7047,64.5809,65.244,66.0355,67.6487,70.3969,70.6744,71.1334,72.0616,72.6637,75.7146,76.3782,79.0327,79.4455,84.1441,88.8777,89.6947,90.7978
180.134,0.137423,0.43476,0.484733,0.202102,0.266969,0.00556216,0.116329,0.287725,0.277186,0.260909,0.19139,0.419195,0.445346,0.137423,0.116329,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.45409,8.59679,8.81546,12.1904,12.8523,21.0996,23.8636,23.5363,26.4758,26.9358,34.6882,35.778,37.4199,44.3163,44.4771,45.8257,46.6925,47.4983,48.2833,48.8805,54.2392,55.6598,62.946,64.0171,65.2413,66.0533,67.3907,69.7647,70.2693,71.4209,72.75,72.5303,75.8294,76.5233,79.2379,79.5934,83.5703,88.7965,89.5749,89.9948,0.0457853,0.17757,-0.0344568,0.0300793,0.0391387,0.098293,-0.121349,0.0520487,0.0835018,0.0177259,-0.0415485,-0.0511474,0.366848,0.0528717,-0.0649387,0.0282209,-0.0621761,-0.069089,0.0961227,0.0158496,-0.217265,-0.0922626,0.0268418,-0.156231,0.0568943,-0.366461,-0.0228127,-0.57643,-0.317765,0.216281,-0.0106743,-0.35498,0.0785612,-0.0320121,-0.0378862,-0.605706,-0.303994,-0.221818,-0.713417,-0.325384,4.46521,8.68243,8.79946,12.1279,12.8339,21.0957,23.7113,23.768,26.5995,27.0933,34.5605,35.9341,37.4712,44.2541,44.5689,45.5528,47.0042,47.3821,48.3689,48.7582,54.3723,55.2423,62.7102,64.5832,65.2501,66.0675,67.6818,70.4114,70.6898,71.1437,72.0857,72.676,75.7274,76.399,79.0579,79.4697,84.184,88.9048,89.7334,90.8294
180.136,0.137408,0.434727,0.484732,0.201976,0.266944,0.00556181,0.116376,0.28772,0.277218,0.260894,0.19105,0.41926,0.445493,0.137408,0.116376,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.49606,8.68421,8.74245,12.163,12.7604,21.2617,23.8269,23.6855,26.5989,27.3948,34.7229,35.6935,37.64,44.1469,44.1105,45.8086,46.9041,47.441,48.0344,48.8398,54.2871,54.8351,62.8667,64.4072,65.5673,65.938,68.0248,70.2043,71.213,71.2103,72.2042,72.5847,76.3537,76.0966,78.6991,80.0686,83.9685,89.3422,88.9686,90.9428,0.0455468,0.177772,-0.0346548,0.0298019,0.0388278,0.0976938,-0.121349,0.0520575,0.0829265,0.0178088,-0.0421721,-0.0518534,0.366281,0.0526524,-0.064865,0.0279649,-0.0624127,-0.0692614,0.0957266,0.0150395,-0.218098,-0.0925676,0.0267439,-0.156157,0.056704,-0.367326,-0.0238255,-0.576463,-0.317844,0.216011,-0.0112311,-0.354795,0.0780934,-0.0328549,-0.038354,-0.606124,-0.305112,-0.222892,-0.714517,-0.326106,4.46545,8.68223,8.79965,12.1282,12.8342,21.0963,23.7113,23.7679,26.6001,27.0932,34.5612,35.9349,37.4717,44.2543,44.5689,45.553,47.0044,47.3823,48.3693,48.759,54.3731,55.2426,62.7103,64.5832,65.2503,66.0683,67.6828,70.4115,70.6898,71.144,72.0862,72.6758,75.7279,76.3999,79.0584,79.4701,84.1851,88.9059,89.7345,90.8301
180.16,0.137175,0.434225,0.484709,0.200823,0.266495,0.0055558,0.116701,0.287705,0.277456,0.261043,0.188745,0.419645,0.446031,0.137175,0.116701,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.47715,8.65522,8.7658,12.1349,12.9029,20.9306,23.8411,23.9378,26.5637,27.0783,34.3593,35.7275,37.6843,44.0048,44.7759,45.5919,47.0774,47.2602,48.0008,49.1708,54.9975,55.1158,62.8483,64.3703,65.3846,66.3476,67.6752,70.0354,71.3558,71.8921,72.2239,72.5727,75.6489,76.6119,79.0855,79.8467,84.9847,88.8184,90.2372,90.8254,0.0438978,0.179075,-0.0360406,0.0278555,0.0366594,0.0935541,-0.121433,0.0520298,0.07896,0.0182826,-0.0464527,-0.0566821,0.362348,0.0511304,-0.0644262,0.0261454,-0.0640436,-0.0704537,0.0929692,0.00956986,-0.223697,-0.0945883,0.0260127,-0.155712,0.0553765,-0.373026,-0.0305223,-0.576568,-0.31826,0.214077,-0.0148429,-0.353414,0.0748699,-0.0386894,-0.0412906,-0.608715,-0.312328,-0.23028,-0.721584,-0.330635,4.4671,8.68093,8.80104,12.1301,12.8363,21.1004,23.7114,23.768,26.604,27.0927,34.5655,35.9397,37.4757,44.2559,44.5684,45.5549,47.006,47.3835,48.372,48.7644,54.3787,55.2446,62.711,64.5827,65.2516,66.074,67.6895,70.4116,70.6903,71.1459,72.0898,72.6744,75.7311,76.4057,79.0613,79.4727,84.1923,88.9133,89.7416,90.8346
180.206,0.136624,0.433017,0.484649,0.198782,0.265414,0.00554097,0.117118,0.287665,0.277741,0.261652,0.185737,0.420092,0.445925,0.136624,0.117118,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.50268,8.71008,8.78166,12.1787,12.8259,21.05,23.6693,23.6787,26.541,27.1152,34.4653,35.8407,37.7073,44.497,44.6883,46.1991,47.1652,47.5284,48.5404,48.5424,53.6529,55.4471,62.5297,64.6704,64.9,65.9616,67.6824,70.2939,70.5391,71.1794,72.0412,72.1636,75.6667,76.2559,79.7139,80.5719,84.8647,88.4108,89.8864,90.2062,0.0418154,0.180865,-0.0377791,0.0254982,0.0340032,0.088551,-0.12125,0.0522833,0.0741742,0.0193292,-0.0512984,-0.0622797,0.357339,0.0498956,-0.063212,0.024031,-0.0653629,-0.0711737,0.0896005,0.00356388,-0.229819,-0.0959795,0.0252637,-0.154924,0.0538274,-0.378653,-0.0375534,-0.575301,-0.317377,0.211856,-0.0179878,-0.350081,0.0710069,-0.0459307,-0.0432063,-0.610189,-0.319249,-0.239318,-0.728349,-0.334199,4.46918,8.67914,8.80278,12.1325,12.839,21.1054,23.7113,23.7677,26.6088,27.0917,34.5703,35.9453,37.4807,44.2571,44.5672,45.557,47.0074,47.3842,48.3754,48.7704,54.3848,55.246,62.7117,64.5819,65.2532,66.0797,67.6966,70.4103,70.6894,71.1481,72.093,72.6711,75.735,76.4129,79.0632,79.4742,84.1992,88.9223,89.7483,90.8382
