# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 0
# model = rus
# method = optimize
#   optimize
#     algorithm = lbfgs (Default)
#       lbfgs
#         init_alpha = 0.001 (Default)
#         tol_obj = 9.9999999999999998e-13 (Default)
#         tol_rel_obj = 10000 (Default)
#         tol_grad = 1e-08 (Default)
#         tol_rel_grad = 10000000 (Default)
#         tol_param = 1e-08 (Default)
#         history_size = 5 (Default)
#     iter = 500
#     save_iterations = 1
#     laplace_draws = 250
#     laplace_diag_shift = 0 (Default)
# id = 0 (Default)
# data
#   file = VB-LA_datafiles_VB1-v2/datafile_VB1-v2_55N.dat
# init = init-cij-tbc1.dat
# random
#   seed = 1515910181 (Default)
# output
#   file = VB-LA_outputs_VB1-v2/output_VB1-v2_55N_init-cij-tbc1_1.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,c44_coat,c11_coat,c33_coat,c12_coat,c13_coat,sigma,c66_coat,ct1_coat,Ep,Et,vp,vtp,vpt,Gt,Gp,Csub.1.1,Csub.2.1,Csub.3.1,Csub.4.1,Csub.5.1,Csub.6.1,Csub.1.2,Csub.2.2,Csub.3.2,Csub.4.2,Csub.5.2,Csub.6.2,Csub.1.3,Csub.2.3,Csub.3.3,Csub.4.3,Csub.5.3,Csub.6.3,Csub.1.4,Csub.2.4,Csub.3.4,Csub.4.4,Csub.5.4,Csub.6.4,Csub.1.5,Csub.2.5,Csub.3.5,Csub.4.5,Csub.5.5,Csub.6.5,Csub.1.6,Csub.2.6,Csub.3.6,Csub.4.6,Csub.5.6,Csub.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,yhat.16,yhat.17,yhat.18,yhat.19,yhat.20,yhat.21,yhat.22,yhat.23,yhat.24,yhat.25,yhat.26,yhat.27,yhat.28,yhat.29,yhat.30,yhat.31,yhat.32,yhat.33,yhat.34,yhat.35,yhat.36,yhat.37,yhat.38,yhat.39,yhat.40,yhat.41,yhat.42,yhat.43,yhat.44,yhat.45,yhat.46,yhat.47,yhat.48,yhat.49,yhat.50,yhat.51,yhat.52,yhat.53,yhat.54,yhat.55,residual.1,residual.2,residual.3,residual.4,residual.5,residual.6,residual.7,residual.8,residual.9,residual.10,residual.11,residual.12,residual.13,residual.14,residual.15,residual.16,residual.17,residual.18,residual.19,residual.20,residual.21,residual.22,residual.23,residual.24,residual.25,residual.26,residual.27,residual.28,residual.29,residual.30,residual.31,residual.32,residual.33,residual.34,residual.35,residual.36,residual.37,residual.38,residual.39,residual.40,residual.41,residual.42,residual.43,residual.44,residual.45,residual.46,residual.47,residual.48,residual.49,residual.50,residual.51,residual.52,residual.53,residual.54,residual.55,calcfq.1,calcfq.2,calcfq.3,calcfq.4,calcfq.5,calcfq.6,calcfq.7,calcfq.8,calcfq.9,calcfq.10,calcfq.11,calcfq.12,calcfq.13,calcfq.14,calcfq.15,calcfq.16,calcfq.17,calcfq.18,calcfq.19,calcfq.20,calcfq.21,calcfq.22,calcfq.23,calcfq.24,calcfq.25,calcfq.26,calcfq.27,calcfq.28,calcfq.29,calcfq.30,calcfq.31,calcfq.32,calcfq.33,calcfq.34,calcfq.35,calcfq.36,calcfq.37,calcfq.38,calcfq.39,calcfq.40,calcfq.41,calcfq.42,calcfq.43,calcfq.44,calcfq.45,calcfq.46,calcfq.47,calcfq.48,calcfq.49,calcfq.50,calcfq.51,calcfq.52,calcfq.53,calcfq.54,calcfq.55
-2440.11,0.15,0.5,0.5,0.1,0.1,0.005,0.2,0.48,0.466667,0.466667,0.166667,0.166667,0.166667,0.15,0.2,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.88583,9.16001,9.23436,13.1061,13.706,22.7279,25.0928,25.022,28.0927,29.1725,37.0959,38.4025,38.1278,46.4656,46.6278,47.1608,49.6814,49.9097,49.9517,51.9003,57.7257,58.206,63.8335,65.4463,65.6538,70.7991,71.6557,73.1428,73.7735,74.2166,75.9148,75.9167,76.9299,78.425,82.9911,83.1686,89.357,91.0535,93.9717,94.853,95.8736,95.7344,98.628,103.318,104.909,105.206,106.493,111.543,111.969,113.171,113.122,117.167,118.054,119.98,123.047,-0.362471,-0.399146,-0.523594,-0.894078,-0.843232,-1.54218,-1.4538,-1.28044,-1.50122,-1.6796,-2.50765,-2.36812,-0.69607,-1.95139,-2.16723,-1.68905,-2.16298,-2.57195,-1.48641,-3.22523,-3.43396,-3.37767,-1.00641,-1.05971,-0.790418,-4.62126,-4.00381,-2.68674,-3.46055,-2.82369,-3.61155,-3.86974,-1.43036,-2.00043,-4.19776,-4.71524,-5.36218,-2.70396,-4.90149,-4.1326,-3.85791,-1.86524,-1.81235,-4.66073,-5.11324,-5.38924,-5.2713,-6.742,-6.31107,-5.88368,-6.0244,-2.61484,-2.52553,-4.27588,-5.94452,4.87347,9.25915,9.28859,13.0521,13.7162,22.7362,25.0438,25.1004,28.1842,28.7906,37.0267,38.2511,38.5341,46.2584,46.6712,47.27,49.105,49.885,49.9514,51.9992,57.589,58.5277,63.7434,65.4867,66.0974,70.3223,71.6628,72.5217,73.8326,74.1837,75.6865,76.1907,77.2364,78.3674,83.2178,83.5792,89.2422,91.387,93.9215,94.6366,95.7379,95.8112,97.9203,103.973,104.309,105.681,105.972,111.28,112.083,112.297,112.839,116.845,117.221,120.459,122.919
61.057,0.139089,0.442834,0.48811,0.254914,0.187909,0.00543915,0.0939598,0.370494,0.280524,0.386899,0.492787,0.269307,0.195263,0.139089,0.0939598,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.36731,8.7345,9.10698,12.0405,12.7811,21.0184,24.2843,24.3932,26.4669,27.7815,34.9368,35.866,37.0129,45.1558,44.9399,46.1698,47.7369,47.4912,49.4253,48.8731,54.5928,56.1718,62.914,63.8124,65.3103,67.0448,67.8871,71.4593,71.3222,72.0095,72.5331,73.7572,75.8829,75.7205,79.8407,80.6981,84.6003,88.0893,89.972,91.9534,91.9184,93.8661,95.9466,100.78,102.418,103.051,101.548,106.654,107.235,108.028,110.207,113.541,113.599,116.32,119.604,0.156432,0.111399,-0.365499,0.00350883,0.0695348,0.151998,-0.615886,-0.459004,0.17161,-0.698634,-0.263202,-0.12428,0.621559,-0.506701,-0.647634,-0.479765,-0.613692,-0.780865,0.0553605,-0.282467,-0.477997,-0.954927,-0.205296,-0.304801,-0.331966,-0.970313,-0.361901,-1.09986,-1.42396,-0.731112,-0.587801,-1.84519,0.0505864,0.195454,-1.02055,-1.60858,-0.955206,0.11369,-1.30819,-1.0563,-0.1139,0.231283,0.428467,-1.66582,-2.52845,-1.92439,-1.98013,-1.79893,-1.84238,-1.62826,-2.72641,0.809935,0.742436,-0.792553,-1.42113,4.35457,8.7486,9.1305,12.1545,12.8035,21.042,24.2059,24.279,26.5114,27.8096,34.7822,36.0073,37.2164,44.8137,45.1516,46.0608,47.5557,48.0939,48.4096,49.0565,54.633,56.1049,62.9423,64.7318,65.639,66.6713,68.0209,70.9349,71.796,72.0911,72.6628,74.1662,75.7554,76.1715,80.0405,80.4726,84.8352,88.5693,90.3282,91.5603,91.9939,93.7147,95.6795,100.978,101.724,102.216,102.681,106.337,107.614,108.041,109.541,113.42,113.953,116.976,118.395
166.61,0.136813,0.432239,0.484543,0.262063,0.246809,0.00548669,0.085088,0.306524,0.245874,0.309073,0.44482,0.355477,0.282789,0.136813,0.085088,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.28718,8.60951,8.88531,11.9845,12.6187,20.6776,23.9809,23.8335,25.9963,27.8134,34.4503,35.4413,36.7839,43.7002,45.1859,45.677,46.6411,47.1286,48.7122,48.3304,54.0014,54.8784,62.3653,64.8096,65.6681,65.5311,67.0439,70.5758,70.3359,70.5725,71.0891,72.5179,75.0045,76.3147,78.5008,80.5023,83.8822,87.5376,89.2665,90.4405,91.7077,92.9562,95.897,99.0242,100.844,100.687,100.862,104.292,105.852,105.857,107.68,113.343,113.092,115.475,117.41,0.21238,0.19372,-0.11624,0.203656,0.243396,0.485197,-0.198325,-0.035857,0.469287,-0.136951,0.324935,0.392659,0.744844,0.141169,-0.207519,0.103148,0.0188618,-0.049841,0.348431,0.47686,0.286229,-0.00746934,0.0640602,-0.150007,0.0388747,0.111526,0.601961,-0.587412,-0.424778,0.198277,0.317748,-0.672417,0.358858,0.51487,0.152115,-0.448209,0.339961,0.483442,-0.065208,0.050121,0.485632,0.603331,0.763627,-0.358834,-1.05094,-0.507873,-0.639745,-0.220962,-0.36212,-0.237872,-1.1489,1.26014,1.23899,-0.145084,0.0915354,4.29862,8.66628,8.88124,11.9543,12.6296,20.7088,23.7883,23.8559,26.2137,27.248,34.1941,35.4903,37.0932,44.1658,44.7115,45.4779,46.9231,47.3628,48.1166,48.2971,53.8688,55.1575,62.6729,64.577,65.2681,65.5895,67.057,70.4224,70.7968,71.1617,71.7573,72.9934,75.4471,75.8521,78.8679,79.3122,83.54,88.1996,89.0852,90.4539,91.3944,93.3427,95.3444,99.6708,100.247,100.8,101.341,104.759,106.134,106.651,107.964,112.97,113.456,116.328,116.882
221.824,0.136892,0.43307,0.484345,0.238117,0.25913,0.00549816,0.0974763,0.294432,0.260821,0.284257,0.33787,0.386077,0.354247,0.136892,0.0974763,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.41249,8.69841,8.70959,12.0308,12.6942,20.887,23.8111,23.8068,25.927,27.0966,34.3512,35.5898,37.1398,43.6778,44.2371,45.6179,47.1946,47.3218,47.8782,48.0717,54.0968,55.7889,62.9449,64.4673,65.3811,66.0547,66.5029,70.5888,70.4694,71.2109,71.6363,73.1545,75.6688,76.8377,78.9969,79.591,83.1525,88.2051,89.4715,90.1865,90.8247,94.3745,95.637,100.356,99.1445,100.655,100.926,104.769,106.073,106.862,107.507,112.88,113.707,114.617,117.159,0.144682,0.143561,-0.0203928,0.139691,0.164774,0.339279,-0.142751,0.0255484,0.319299,-0.0424999,0.201597,0.231856,0.595107,0.13204,-0.124367,0.108924,0.0168965,-0.0210776,0.255154,0.328389,0.115067,0.00682466,0.0594226,-0.168391,0.0909917,-0.0274539,0.388844,-0.568878,-0.317021,0.270634,0.21854,-0.474496,0.260106,0.305366,0.134269,-0.45387,0.143237,0.210697,-0.26799,-0.0405068,0.297559,0.44231,0.555633,-0.263163,-0.797929,-0.477903,-0.59431,-0.369975,-0.51821,-0.321813,-0.99502,0.886661,0.961054,-0.353419,-0.022615,4.36632,8.71644,8.78539,12.0183,12.7082,20.8547,23.7328,23.7945,26.3637,27.1535,34.3174,35.6511,37.2429,44.175,44.6284,45.4721,46.9251,47.3341,48.2098,48.4456,54.0399,55.1432,62.6776,64.5954,65.216,65.7285,67.2702,70.4039,70.689,71.0894,71.8565,72.7955,75.5459,76.0616,78.8857,79.3179,83.7368,88.4723,89.288,90.5445,91.5824,93.5037,95.5524,99.5752,99.9939,100.77,101.295,104.908,106.29,106.735,107.81,113.343,113.734,116.536,116.997
249.653,0.136981,0.434251,0.48404,0.201904,0.277757,0.00550331,0.116173,0.274865,0.268288,0.241492,0.154687,0.436619,0.485067,0.136981,0.116173,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.46959,8.65401,8.77248,12.1706,12.7071,21.1862,23.5651,23.8302,26.5047,27.2521,34.5096,35.8685,37.6238,44.1849,44.4662,45.3174,46.9089,47.3117,47.8271,48.707,54.589,55.0002,62.6204,64.2045,65.0616,66.0349,67.6076,70.2145,70.474,70.8006,71.1022,72.0935,75.0581,75.7111,78.2848,79.7906,83.9862,88.3472,89.1654,90.7609,91.224,94.0143,95.3841,99.9617,98.6742,100.335,100.84,105.228,106.497,105.991,107.537,114.361,114.142,116.729,117.442,0.0482792,0.239764,-0.0234984,0.0641727,0.0659119,0.146798,-0.0303899,0.143697,0.128627,0.14422,0.061803,0.0326801,0.371899,0.192054,0.0933276,0.084596,0.0835417,0.0858615,0.130559,0.145914,-0.0871327,0.101718,0.0839001,-0.0859999,0.0867538,-0.16499,0.142414,-0.348892,-0.0935646,0.284048,0.176674,-0.0878326,0.119588,0.00516711,0.1967,-0.369415,-0.0733551,-0.162397,-0.498022,-0.0870167,0.0471843,0.220438,0.276002,0.019822,-0.341011,-0.286149,-0.383907,-0.509514,-0.67983,-0.348905,-0.629933,0.376161,0.568125,-0.493092,-0.0714996,4.46272,8.62024,8.7885,12.0938,12.8071,21.0472,23.6204,23.6763,26.5544,26.9668,34.4572,35.8503,37.4661,44.1149,44.4107,45.4964,46.8585,47.2271,48.3344,48.6281,54.2421,55.0483,62.6531,64.513,65.2202,65.866,67.5166,70.1839,70.4656,71.076,71.8983,72.4088,75.6864,76.3618,78.8233,79.2334,83.9534,88.8454,89.518,90.591,91.8328,93.7256,95.832,99.2922,99.537,100.578,101.085,105.048,106.452,106.762,107.445,113.854,114.127,116.676,117.045
251.672,0.137121,0.434929,0.484373,0.200914,0.272632,0.00549972,0.117008,0.281477,0.273474,0.250578,0.168616,0.428772,0.46795,0.137121,0.117008,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.49204,8.66109,8.77521,12.0295,12.9103,20.9949,23.7805,23.6738,26.3373,26.9206,34.3263,35.8465,37.9003,44.2329,44.3991,45.2441,46.5472,47.6689,48.808,48.4975,54.3803,55.2529,62.5171,64.4083,65.113,66.1228,67.6734,70.1881,70.1182,71.3764,72.1656,72.702,75.9326,76.0315,79.2687,78.8735,84.7683,88.0215,88.9741,89.8697,91.921,93.612,95.283,99.9931,99.9662,99.8798,101.293,105.824,106.742,108.104,107.035,114.67,114.384,116.549,116.524,0.0431338,0.2105,-0.0324173,0.0418334,0.0468703,0.111654,-0.078049,0.0958269,0.0955824,0.0792425,-0.00264872,-0.0228626,0.36016,0.115161,0.0109178,0.0513942,0.00283539,0.00158277,0.105913,0.064586,-0.169326,-0.00545144,0.0525059,-0.121726,0.0683485,-0.28552,0.0385319,-0.469992,-0.213985,0.245318,0.0682457,-0.225726,0.0905684,-0.0279499,0.0650024,-0.501235,-0.213869,-0.211887,-0.630142,-0.224701,0.00389172,0.180236,0.238877,-0.138103,-0.510142,-0.452576,-0.543254,-0.68279,-0.840351,-0.504435,-0.81507,0.327682,0.511919,-0.642991,-0.236325,4.46787,8.6495,8.79742,12.1162,12.8261,21.0823,23.668,23.7242,26.5874,27.0318,34.5216,35.9059,37.4778,44.1918,44.4931,45.5296,46.9392,47.3114,48.3591,48.7094,54.3243,55.1555,62.6845,64.5487,65.2387,65.9865,67.6205,70.305,70.586,71.1147,72.0068,72.5467,75.7154,76.3949,78.955,79.3652,84.0939,88.8949,89.6501,90.7287,91.8761,93.7658,95.8691,99.4501,99.7061,100.745,101.244,105.221,106.612,106.917,107.63,113.902,114.183,116.826,117.21
251.676,0.137114,0.434906,0.484372,0.201069,0.272548,0.0054996,0.116919,0.281548,0.273463,0.250771,0.169458,0.428552,0.467332,0.137114,0.116919,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.43927,8.65041,8.7958,12.1124,12.7911,20.7402,23.3668,23.6412,26.8764,27.0685,34.0197,36.1345,37.1075,44.4487,44.2966,45.5277,46.8824,47.426,47.9984,48.7894,53.3942,54.9687,63.129,64.8397,65.2086,66.1571,67.9604,70.2258,70.846,70.8223,72.6678,72.271,75.0947,76.7798,78.5755,78.8166,84.388,89.0121,89.8003,91.2728,91.6842,93.5527,96.2667,99.3442,99.1791,100.48,101.676,105.452,106.067,106.748,107.122,114.044,114.348,117.263,117.89,0.0435795,0.209813,-0.0320894,0.0422042,0.0473399,0.112592,-0.0784723,0.0953856,0.0964836,0.0784999,-0.00189552,-0.0218612,0.36122,0.114949,0.0100602,0.0516458,0.00264414,0.00123322,0.106526,0.0656096,-0.16825,-0.00568427,0.0524191,-0.122239,0.0686352,-0.284652,0.0398466,-0.470921,-0.214793,0.245602,0.0685352,-0.227202,0.0912962,-0.0264993,0.0649683,-0.501376,-0.212558,-0.21009,-0.628797,-0.224197,0.00510457,0.181343,0.240207,-0.139171,-0.511754,-0.453212,-0.54398,-0.681715,-0.839198,-0.503993,-0.816386,0.330022,0.513902,-0.642159,-0.235795,4.46742,8.65019,8.79709,12.1158,12.8257,21.0814,23.6685,23.7246,26.5865,27.0325,34.5209,35.9049,37.4768,44.1921,44.4939,45.5294,46.9394,47.3118,48.3585,48.7084,54.3232,55.1557,62.6846,64.5492,65.2384,65.9857,67.6192,70.3059,70.5868,71.1144,72.0065,72.5482,75.7147,76.3935,78.955,79.3654,84.0926,88.8931,89.6488,90.7282,91.8749,93.7647,95.8678,99.4512,99.7078,100.745,101.245,105.22,106.611,106.917,107.631,113.9,114.181,116.825,117.21
251.695,0.137029,0.43468,0.484366,0.201413,0.272114,0.0054979,0.116633,0.281808,0.273446,0.251551,0.172249,0.42779,0.465026,0.137029,0.116633,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.46835,8.60463,8.819,11.9832,12.8802,20.9669,23.72,23.355,26.2789,27.0086,34.7499,36.0583,37.3269,44.2649,44.7229,45.7937,46.6176,46.9106,48.6178,48.8352,54.225,55.525,62.3564,64.63,65.0237,66.6041,67.6917,70.8154,70.8312,71.0374,71.5474,73.5544,75.6615,76.2443,79.3184,78.8347,83.9072,88.9331,89.9261,90.1435,92.1617,93.1361,96.0515,100.245,99.4112,100.525,101.445,104.767,107.502,107.499,107.33,113.283,114.332,117.196,117.769,0.0450123,0.207463,-0.0310572,0.0433351,0.048805,0.115542,-0.0800129,0.0937843,0.0993288,0.0758715,0.000395413,-0.0187302,0.364619,0.114066,0.00702952,0.0523456,0.00181959,-0.000118958,0.108441,0.0687818,-0.164891,-0.00667391,0.0520291,-0.124022,0.0695025,-0.282007,0.0439975,-0.47418,-0.217648,0.246372,0.0693238,-0.2323,0.0935857,-0.021883,0.0646678,-0.502024,-0.20841,-0.204365,-0.624503,-0.222687,0.00893798,0.184838,0.244457,-0.142826,-0.517241,-0.455445,-0.546505,-0.678295,-0.835491,-0.502626,-0.820858,0.337551,0.520235,-0.639509,-0.234128,4.46599,8.65254,8.79606,12.1147,12.8242,21.0785,23.67,23.7262,26.5837,27.0351,34.5186,35.9017,37.4734,44.1929,44.497,45.5287,46.9402,47.3131,48.3566,48.7052,54.3199,55.1567,62.685,64.551,65.2375,65.983,67.615,70.3092,70.5896,71.1136,72.0057,72.5533,75.7124,76.3889,78.9553,79.366,84.0884,88.8874,89.6445,90.7267,91.8711,93.7612,95.8635,99.4548,99.7132,100.747,101.248,105.216,106.607,106.916,107.636,113.892,114.175,116.823,117.208
251.73,0.136801,0.434098,0.484345,0.201459,0.271304,0.00549318,0.116319,0.282128,0.273447,0.252718,0.175414,0.426876,0.461889,0.136801,0.116319,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.43947,8.56916,8.74159,12.1852,12.7465,21.162,23.8911,23.8467,26.5603,27.3161,34.3684,35.9486,37.7774,44.112,44.3215,45.2041,47.2872,47.737,48.4518,48.0867,54.0707,55.2216,62.0761,63.9116,65.6677,65.7682,67.4121,70.2364,70.5356,70.8845,72.1217,72.547,74.9284,76.8476,79.1644,79.0547,83.9242,88.8274,88.6504,90.799,92.2141,94.1474,95.8002,100.208,99.0404,100.366,101.265,105.995,106.413,108.082,107.736,113.44,114.135,117.628,116.875,0.0465953,0.20472,-0.0299411,0.0445311,0.0503869,0.118775,-0.0818746,0.0918519,0.102459,0.0727666,0.0028891,-0.0152688,0.368355,0.112996,0.00349167,0.0530204,0.000816643,-0.00172,0.110515,0.0723387,-0.161094,-0.00780691,0.0514989,-0.126103,0.0704147,-0.278913,0.0488105,-0.477797,-0.220798,0.247081,0.070346,-0.238012,0.096099,-0.0168114,0.0645044,-0.502574,-0.203419,-0.19803,-0.619312,-0.220672,0.0131624,0.188683,0.249199,-0.146601,-0.523133,-0.457564,-0.548972,-0.673878,-0.830745,-0.500566,-0.825439,0.345978,0.527296,-0.636036,-0.231672,4.4644,8.65528,8.79494,12.1135,12.8226,21.0752,23.6719,23.7281,26.5805,27.0382,34.5161,35.8983,37.4696,44.194,44.5005,45.528,46.9412,47.3147,48.3545,48.7017,54.3161,55.1578,62.6855,64.5531,65.2366,65.9799,67.6102,70.3128,70.5928,71.1129,72.0047,72.559,75.7099,76.3838,78.9555,79.3666,84.0834,88.881,89.6393,90.7247,91.8668,93.7573,95.8588,99.4586,99.7191,100.75,101.25,105.212,106.603,106.914,107.64,113.884,114.168,116.819,117.206
251.84,0.135974,0.432022,0.484268,0.200553,0.268796,0.00547593,0.115734,0.282824,0.273499,0.255832,0.181581,0.424925,0.454269,0.135974,0.115734,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.47606,8.63131,8.80574,12.1433,12.8524,21.2365,23.7693,23.6411,26.6327,27.0661,34.4947,35.9029,37.2327,44.1729,44.4987,45.698,46.5117,47.2759,48.0352,49.1748,54.0162,55.3585,62.4928,64.8872,65.9772,65.7434,67.4381,70.0746,70.377,71.7133,72.0344,72.3731,76.3311,76.4871,78.6629,78.9893,83.515,88.478,89.8037,90.913,92.4245,93.5026,96.0535,98.759,99.7838,100.286,102.049,104.588,108.064,106.594,108.541,114.057,115.164,117.266,117.595,0.0495684,0.199167,-0.0279134,0.0466331,0.0532604,0.124786,-0.0858023,0.0877807,0.10832,0.0663989,0.00751125,-0.00872111,0.375317,0.110779,-0.00363569,0.05402,-0.0012649,-0.00496496,0.114301,0.0792392,-0.153635,-0.00995052,0.0502348,-0.130305,0.0719969,-0.272486,0.0586147,-0.484505,-0.226575,0.248021,0.072823,-0.248829,0.100793,-0.00735325,0.0648319,-0.50298,-0.192698,-0.18607,-0.608111,-0.215714,0.0210975,0.195887,0.258272,-0.152726,-0.5335,-0.460321,-0.552465,-0.663513,-0.81973,-0.494901,-0.83276,0.362154,0.540791,-0.627753,-0.225055,4.46143,8.66083,8.79291,12.1114,12.8197,21.0692,23.6758,23.7322,26.5747,27.0446,34.5115,35.8917,37.4627,44.1962,44.5076,45.527,46.9433,47.318,48.3507,48.6948,54.3086,55.16,62.6868,64.5573,65.235,65.9735,67.6004,70.3195,70.5986,71.112,72.0022,72.5698,75.7052,76.3744,78.9552,79.367,84.0727,88.8691,89.6281,90.7197,91.8589,93.7501,95.8497,99.4647,99.7295,100.752,101.253,105.202,106.592,106.908,107.648,113.868,114.154,116.811,117.199
