# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 0
# model = rus
# method = optimize
#   optimize
#     algorithm = lbfgs (Default)
#       lbfgs
#         init_alpha = 0.001 (Default)
#         tol_obj = 9.9999999999999998e-13 (Default)
#         tol_rel_obj = 10000 (Default)
#         tol_grad = 1e-08 (Default)
#         tol_rel_grad = 10000000 (Default)
#         tol_param = 1e-08 (Default)
#         history_size = 5 (Default)
#     iter = 500
#     save_iterations = 1
#     laplace_draws = 250
#     laplace_diag_shift = 0 (Default)
# id = 0 (Default)
# data
#   file = VB-LA_datafiles_VB2-v1/datafile_VB2-v1_10N.dat
# init = init-cij-tbc1.dat
# random
#   seed = 1168296188 (Default)
# output
#   file = VB-LA_outputs_VB2-v1/output_VB2-v1_10N_init-cij-tbc1_1.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,c44_coat,c11_coat,c33_coat,c12_coat,c13_coat,sigma,c66_coat,ct1_coat,Ep,Et,vp,vtp,vpt,Gt,Gp,Csub.1.1,Csub.2.1,Csub.3.1,Csub.4.1,Csub.5.1,Csub.6.1,Csub.1.2,Csub.2.2,Csub.3.2,Csub.4.2,Csub.5.2,Csub.6.2,Csub.1.3,Csub.2.3,Csub.3.3,Csub.4.3,Csub.5.3,Csub.6.3,Csub.1.4,Csub.2.4,Csub.3.4,Csub.4.4,Csub.5.4,Csub.6.4,Csub.1.5,Csub.2.5,Csub.3.5,Csub.4.5,Csub.5.5,Csub.6.5,Csub.1.6,Csub.2.6,Csub.3.6,Csub.4.6,Csub.5.6,Csub.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,residual.1,residual.2,residual.3,residual.4,residual.5,residual.6,residual.7,residual.8,residual.9,residual.10,calcfq.1,calcfq.2,calcfq.3,calcfq.4,calcfq.5,calcfq.6,calcfq.7,calcfq.8,calcfq.9,calcfq.10
-20.515,0.15,0.5,0.5,0.1,0.1,0.005,0.2,0.48,0.466667,0.466667,0.166667,0.166667,0.166667,0.15,0.2,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,122.265,134.271,154.872,159.843,160.8,188.112,189.984,203.607,203.528,207.085,-2.84326,-0.987016,-0.893769,-0.46214,-0.616633,-2.13797,-0.725584,-6.95457,-5.6548,-3.93095,122.876,134.936,153.29,159.688,160.19,189.532,190.578,202.876,205.423,206.377
25.033,0.137025,0.433719,0.484217,0.331856,0.208658,0.00561911,0.0509315,0.343805,0.173546,0.370477,0.703718,0.272551,0.127673,0.137025,0.0509315,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,116.505,133.771,151.697,162.006,159.226,187.185,188.255,195.688,200.678,201.13,3.42189,-0.408437,1.21145,-0.00512945,0.088084,1.54876,0.67268,-0.271941,-0.567047,-0.880967,116.611,134.357,151.185,159.231,159.485,185.845,189.179,196.193,200.335,203.327
31.2801,0.139844,0.448402,0.48733,0.222842,0.204014,0.00560814,0.11278,0.362994,0.310959,0.363316,0.378614,0.303934,0.260135,0.139844,0.11278,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,119.867,135.694,152.888,159.645,158.472,187.588,189.53,201.934,201.346,203.807,0.498313,-0.674348,0.328323,-0.297316,-0.0526784,-0.223657,-0.0587477,-4.23132,-1.30957,-1.86272,119.535,134.623,152.068,159.523,159.626,187.618,189.911,200.152,201.078,204.309
33.4389,0.13874,0.443821,0.485726,0.235015,0.220044,0.00564738,0.104403,0.344137,0.290918,0.343072,0.393247,0.324149,0.274872,0.13874,0.104403,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,118.3,135.6,151.153,159.413,160.54,186.339,191.351,198.158,200.34,201.642,0.869493,-0.635351,0.453713,-0.249236,-0.00363663,0.00319305,0.0500211,-3.64262,-0.824486,-1.52645,119.164,134.584,151.942,159.475,159.577,187.391,189.802,199.564,200.592,203.972
37.1388,0.135516,0.432701,0.480464,0.24618,0.280428,0.00573887,0.0932607,0.269026,0.243724,0.248789,0.306679,0.413074,0.404664,0.135516,0.0932607,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,118.429,134.527,150.85,160.906,159.675,186.831,187.912,198.394,197.698,203.518,1.40476,-0.551515,0.653244,-0.0142913,0.0623384,0.424371,0.379175,-1.28802,0.781031,-0.698075,118.628,134.501,151.743,159.24,159.511,186.97,189.473,197.209,198.987,203.144
37.5691,0.134663,0.42995,0.478966,0.243097,0.300122,0.00576836,0.0934263,0.241892,0.229368,0.211308,0.227536,0.445916,0.484029,0.134663,0.0934263,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,118.44,134.454,150.536,158.912,158.68,187.445,189.714,195.498,199.067,201.336,1.41533,-0.533915,0.671948,0.0796042,0.0770984,0.494541,0.493576,0.185136,0.953134,-0.559526,118.618,134.483,151.724,159.146,159.496,186.899,189.358,195.736,198.815,203.006
38.9818,0.135216,0.432455,0.479947,0.2284,0.292191,0.00575956,0.102028,0.25457,0.244546,0.221568,0.198433,0.44214,0.487992,0.135216,0.102028,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,118.746,134.95,151.64,161.356,160.898,186.11,189.599,194.9,200.026,201.47,1.02299,-0.570813,0.544802,0.0151694,0.0583912,0.256198,0.381961,-0.185281,0.35115,-0.818956,119.01,134.52,151.851,159.211,159.515,187.138,189.47,196.106,199.417,203.265
39.8007,0.135527,0.434838,0.480579,0.204196,0.291147,0.0057409,0.115321,0.258453,0.25546,0.215282,0.107606,0.455606,0.540636,0.135527,0.115321,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,120.024,135.546,152.053,162.46,158.957,185.693,188.229,195.093,200.909,203.206,0.447709,-0.613156,0.363147,-0.0194975,0.0373261,-0.0435191,0.299371,0.206401,-0.47744,-1.11195,119.585,134.562,152.033,159.245,159.536,187.438,189.553,195.715,200.245,203.558
39.8418,0.13558,0.435371,0.4808,0.202988,0.288475,0.00571695,0.116191,0.262289,0.258879,0.220075,0.114019,0.451901,0.53158,0.13558,0.116191,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,118.846,135.141,150.583,158.982,158.376,188.027,190.781,195.079,200.682,203.851,0.40826,-0.618152,0.348301,-0.0349567,0.0334809,-0.0736163,0.278683,0.0126513,-0.547285,-1.14621,119.625,134.567,152.048,159.261,159.54,187.468,189.573,195.908,200.315,203.592
39.8845,0.135502,0.435696,0.480902,0.201895,0.287059,0.00567836,0.116901,0.264345,0.260816,0.22242,0.115546,0.450225,0.527947,0.135502,0.116901,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,119.307,135.652,151.319,158.92,161.084,187.294,188.142,194.988,201.335,205.459,0.377081,-0.621021,0.337317,-0.0428678,0.0310969,-0.0939766,0.268066,-0.0769699,-0.597208,-1.16794,119.656,134.57,152.059,159.269,159.542,187.488,189.584,195.998,200.365,203.614
