# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 0
# model = rus
# method = optimize
#   optimize
#     algorithm = lbfgs (Default)
#       lbfgs
#         init_alpha = 0.001 (Default)
#         tol_obj = 9.9999999999999998e-13 (Default)
#         tol_rel_obj = 10000 (Default)
#         tol_grad = 1e-08 (Default)
#         tol_rel_grad = 10000000 (Default)
#         tol_param = 1e-08 (Default)
#         history_size = 5 (Default)
#     iter = 500
#     save_iterations = 1
#     laplace_draws = 250
#     laplace_diag_shift = 0 (Default)
# id = 0 (Default)
# data
#   file = VB-LA_datafiles_VB3-v1/datafile_VB3-v1_20N.dat
# init = init-cij-tbc1.dat
# random
#   seed = 1238937051 (Default)
# output
#   file = VB-LA_outputs_VB3-v1/output_VB3-v1_20N_init-cij-tbc1_1.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,c44_coat,c11_coat,c33_coat,c12_coat,c13_coat,sigma,c66_coat,ct1_coat,Ep,Et,vp,vtp,vpt,Gt,Gp,Csub.1.1,Csub.2.1,Csub.3.1,Csub.4.1,Csub.5.1,Csub.6.1,Csub.1.2,Csub.2.2,Csub.3.2,Csub.4.2,Csub.5.2,Csub.6.2,Csub.1.3,Csub.2.3,Csub.3.3,Csub.4.3,Csub.5.3,Csub.6.3,Csub.1.4,Csub.2.4,Csub.3.4,Csub.4.4,Csub.5.4,Csub.6.4,Csub.1.5,Csub.2.5,Csub.3.5,Csub.4.5,Csub.5.5,Csub.6.5,Csub.1.6,Csub.2.6,Csub.3.6,Csub.4.6,Csub.5.6,Csub.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,yhat.16,yhat.17,yhat.18,yhat.19,yhat.20,residual.1,residual.2,residual.3,residual.4,residual.5,residual.6,residual.7,residual.8,residual.9,residual.10,residual.11,residual.12,residual.13,residual.14,residual.15,residual.16,residual.17,residual.18,residual.19,residual.20,calcfq.1,calcfq.2,calcfq.3,calcfq.4,calcfq.5,calcfq.6,calcfq.7,calcfq.8,calcfq.9,calcfq.10,calcfq.11,calcfq.12,calcfq.13,calcfq.14,calcfq.15,calcfq.16,calcfq.17,calcfq.18,calcfq.19,calcfq.20
-261.78,0.15,0.5,0.5,0.1,0.1,0.005,0.2,0.48,0.466667,0.466667,0.166667,0.166667,0.166667,0.15,0.2,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,25.8291,50.5496,51.2259,65.5873,68.318,77.9329,94.0413,99.1103,105.068,115.543,117.304,126.731,127.667,130.468,133.218,133.634,145.205,155.32,156.685,156.722,-1.2341,-1.55246,-1.79711,-2.62029,-2.38484,-1.29737,-1.15182,-1.83221,-4.31969,-3.7872,-3.26387,-3.56711,-5.11616,-2.53074,-1.92993,-1.33245,-2.27242,-4.01889,-4.96571,-4.24504,25.9071,50.4345,51.2581,65.8473,68.3968,77.5264,94.0908,99.6192,104.975,115.103,115.703,126.721,128.935,130.496,133.084,134.544,146.364,155.368,157.333,157.845
-15.6624,0.139189,0.440554,0.488349,0.323048,0.169851,0.00545396,0.0587529,0.381479,0.198817,0.412788,0.691973,0.222433,0.107133,0.139189,0.0587529,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,23.6401,48.2246,51.9998,62.7816,64.7643,75.4645,92.0673,97.3314,97.9486,113.486,114.44,120.927,125.407,129.009,131.775,132.815,143.848,149.493,150.619,153.604,1.16666,0.685766,-1.80303,0.933126,1.05426,0.987856,0.966188,0.420212,1.94514,-1.44389,-1.10743,2.68803,-2.63609,-0.460452,-0.944293,-0.115249,0.19464,1.7862,1.60142,0.354164,23.5063,48.1962,51.264,62.2939,64.9577,75.2411,91.9728,97.3668,98.7099,112.76,113.546,120.466,126.455,128.425,132.098,133.327,143.897,149.563,150.766,153.246
43.8813,0.141468,0.453172,0.490553,0.224959,0.171867,0.00546096,0.114106,0.392957,0.323889,0.403436,0.419244,0.253442,0.20347,0.141468,0.114106,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.6294,49.4735,50.7384,63.5864,66.1925,77.3401,93.272,98.1409,101.058,113.172,115.087,122.904,127.508,128.963,132.574,135.035,144.402,153.206,154.376,153.845,0.141634,-0.227499,-1.5163,-0.523489,-0.390154,0.090728,0.134289,-0.492882,-0.690029,-2.20218,-1.75344,-0.112117,-3.50647,-1.21364,-1.33425,-0.343764,-0.73557,-1.24052,-1.47681,-1.03304,24.5314,49.1095,50.9773,63.7505,66.4022,76.1383,92.8047,98.2799,101.345,113.518,114.192,123.266,127.325,129.179,132.488,133.556,144.828,152.59,153.844,154.633
57.2117,0.140476,0.448153,0.489178,0.229623,0.191984,0.00550405,0.109265,0.372806,0.308963,0.380417,0.413824,0.283256,0.230052,0.140476,0.109265,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.5165,48.6528,50.9633,63.6105,66.4595,75.748,92.6162,97.9831,100.42,112.901,113.895,122.945,125.927,129.017,131.303,133.463,144.381,152.675,151.644,154.99,0.229571,-0.127899,-1.3091,-0.311538,-0.204596,0.175642,0.241049,-0.389221,-0.371884,-1.91424,-1.46116,0.150034,-3.11643,-1.05616,-1.1898,-0.232408,-0.574996,-0.904461,-1.04435,-0.787596,24.4434,49.0099,50.7701,63.5385,66.2166,76.0534,92.698,98.1762,101.027,113.23,113.9,123.004,126.935,129.021,132.344,133.444,144.667,152.253,153.411,154.388
85.6734,0.137262,0.432569,0.484055,0.22362,0.280048,0.00564147,0.104475,0.270549,0.256524,0.245018,0.227684,0.426779,0.446819,0.137262,0.104475,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.5007,48.5483,49.4718,62.7956,65.6367,76.493,92.959,97.6456,100.41,112.515,112.601,122.976,123.99,128.235,132.237,133.02,144.057,151.198,152.179,152.75,0.335084,0.0977811,0.00334457,0.388821,0.346357,0.294866,0.53795,-0.138809,0.478436,-0.466437,0.0305714,0.663912,-0.995806,-0.392504,-0.302343,0.0493023,-0.00764179,0.160092,0.410768,-0.01198,24.3379,48.7842,49.4577,62.8382,65.6656,75.9341,92.401,97.9258,100.177,111.782,112.408,122.49,124.815,128.358,131.456,133.163,144.1,151.189,151.956,153.612
87.7201,0.137243,0.43252,0.484031,0.216253,0.282777,0.00564218,0.108133,0.267318,0.257568,0.237526,0.190976,0.435864,0.472642,0.137243,0.108133,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.564,49.2045,49.3189,63.2138,65.9145,76.7102,92.2948,97.6367,100.953,111.308,111.867,122.208,124.669,128.081,130.316,133.961,143.268,151.771,152.03,154.388,0.271891,0.0511681,0.090541,0.336347,0.287922,0.238603,0.500974,-0.182711,0.349738,-0.434251,0.0681503,0.521379,-0.917284,-0.391662,-0.251604,0.0104299,-0.0357916,0.0364138,0.281732,-0.0635393,24.4011,48.8308,49.3705,62.8907,65.7241,75.9904,92.438,97.9697,100.305,111.75,112.371,122.633,124.736,128.357,131.406,133.202,144.128,151.313,152.085,153.664
90.4226,0.13739,0.433341,0.484345,0.195157,0.284414,0.00562519,0.119092,0.266329,0.263355,0.226933,0.105677,0.45253,0.525159,0.13739,0.119092,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.4752,49.2094,49.5068,63.0418,66.0719,75.9149,92.1227,97.8931,101.008,111.172,111.761,122.368,123.887,129.493,131.849,134.545,144.914,152.026,151.372,151.437,0.0838557,-0.0996947,0.232538,0.132357,0.0799241,0.0666447,0.371178,-0.32768,-0.0831389,-0.461894,0.052293,0.0831881,-0.866156,-0.440414,-0.181468,-0.120819,-0.162453,-0.389581,-0.194635,-0.278225,24.5891,48.9817,49.2285,63.0946,65.9321,76.1624,92.5678,98.1147,100.738,111.778,112.387,123.071,124.685,128.405,131.335,133.333,144.254,151.739,152.562,153.878
90.4926,0.137291,0.432901,0.484179,0.193635,0.287786,0.00562481,0.119633,0.261848,0.2599,0.219803,0.0862359,0.459329,0.543122,0.137291,0.119633,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.6478,48.6558,49.4798,63.5287,65.9172,76.48,93.6228,98.5894,100.666,111.199,112.736,122.68,125.504,129.521,131.638,134.024,145.24,152.014,152.288,153.922,0.0758433,-0.0981395,0.305039,0.154291,0.0944002,0.0605098,0.377878,-0.324199,-0.0714,-0.390977,0.124891,0.0822952,-0.7525,-0.406926,-0.129705,-0.122791,-0.143057,-0.359925,-0.156493,-0.257359,24.5972,48.9801,49.156,63.0727,65.9176,76.1685,92.5611,98.1112,100.726,111.707,112.314,123.072,124.571,128.372,131.284,133.335,144.235,151.709,152.523,153.857
90.5953,0.137282,0.433069,0.484328,0.190794,0.287731,0.00557293,0.121138,0.262134,0.260629,0.218921,0.0757554,0.461208,0.549077,0.137282,0.121138,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.5783,48.9554,49.3383,63.3332,65.9527,75.5585,92.7172,98.7471,99.835,110.921,112.381,123.225,125.11,128.284,131.343,133.651,145.831,151.996,152.677,154.709,0.0503562,-0.119056,0.318994,0.124798,0.0650281,0.0368013,0.359429,-0.344394,-0.132072,-0.400109,0.11709,0.0233158,-0.753213,-0.415314,-0.123598,-0.141515,-0.162117,-0.418411,-0.224219,-0.289927,24.6226,49.0011,49.142,63.1022,65.947,76.1922,92.5796,98.1314,100.787,111.716,112.322,123.131,124.572,128.38,131.278,133.354,144.254,151.767,152.591,153.89
90.7971,0.13722,0.433173,0.484533,0.189281,0.287756,0.00547553,0.121946,0.26228,0.260991,0.218479,0.0701094,0.462292,0.552245,0.13722,0.121946,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.7645,49.6021,49.2794,62.6223,66.3011,75.3932,93.2145,97.8116,101.11,112.736,112.58,122.598,123.758,128.054,131.946,133.188,143.855,153.133,153.071,152.655,0.0367316,-0.130212,0.326633,0.109173,0.0494484,0.0240943,0.349618,-0.355126,-0.164336,-0.404738,0.113167,-0.0079873,-0.753159,-0.419533,-0.120057,-0.151391,-0.172116,-0.449145,-0.260012,-0.307211,24.6363,49.0122,49.1344,63.1178,65.9626,76.2049,92.5894,98.1421,100.819,111.721,112.326,123.162,124.572,128.385,131.274,133.363,144.264,151.798,152.627,153.907
