# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 0
# model = rus
# method = optimize
#   optimize
#     algorithm = lbfgs (Default)
#       lbfgs
#         init_alpha = 0.001 (Default)
#         tol_obj = 9.9999999999999998e-13 (Default)
#         tol_rel_obj = 10000 (Default)
#         tol_grad = 1e-08 (Default)
#         tol_rel_grad = 10000000 (Default)
#         tol_param = 1e-08 (Default)
#         history_size = 5 (Default)
#     iter = 500
#     save_iterations = 1
#     laplace_draws = 250
#     laplace_diag_shift = 0 (Default)
# id = 0 (Default)
# data
#   file = VB-LA_datafiles_VB3-v1/datafile_VB3-v1_35N.dat
# init = init-cij-tbc1.dat
# random
#   seed = 1168673250 (Default)
# output
#   file = VB-LA_outputs_VB3-v1/output_VB3-v1_35N_init-cij-tbc1_1.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,c44_coat,c11_coat,c33_coat,c12_coat,c13_coat,sigma,c66_coat,ct1_coat,Ep,Et,vp,vtp,vpt,Gt,Gp,Csub.1.1,Csub.2.1,Csub.3.1,Csub.4.1,Csub.5.1,Csub.6.1,Csub.1.2,Csub.2.2,Csub.3.2,Csub.4.2,Csub.5.2,Csub.6.2,Csub.1.3,Csub.2.3,Csub.3.3,Csub.4.3,Csub.5.3,Csub.6.3,Csub.1.4,Csub.2.4,Csub.3.4,Csub.4.4,Csub.5.4,Csub.6.4,Csub.1.5,Csub.2.5,Csub.3.5,Csub.4.5,Csub.5.5,Csub.6.5,Csub.1.6,Csub.2.6,Csub.3.6,Csub.4.6,Csub.5.6,Csub.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,yhat.16,yhat.17,yhat.18,yhat.19,yhat.20,yhat.21,yhat.22,yhat.23,yhat.24,yhat.25,yhat.26,yhat.27,yhat.28,yhat.29,yhat.30,yhat.31,yhat.32,yhat.33,yhat.34,yhat.35,residual.1,residual.2,residual.3,residual.4,residual.5,residual.6,residual.7,residual.8,residual.9,residual.10,residual.11,residual.12,residual.13,residual.14,residual.15,residual.16,residual.17,residual.18,residual.19,residual.20,residual.21,residual.22,residual.23,residual.24,residual.25,residual.26,residual.27,residual.28,residual.29,residual.30,residual.31,residual.32,residual.33,residual.34,residual.35,calcfq.1,calcfq.2,calcfq.3,calcfq.4,calcfq.5,calcfq.6,calcfq.7,calcfq.8,calcfq.9,calcfq.10,calcfq.11,calcfq.12,calcfq.13,calcfq.14,calcfq.15,calcfq.16,calcfq.17,calcfq.18,calcfq.19,calcfq.20,calcfq.21,calcfq.22,calcfq.23,calcfq.24,calcfq.25,calcfq.26,calcfq.27,calcfq.28,calcfq.29,calcfq.30,calcfq.31,calcfq.32,calcfq.33,calcfq.34,calcfq.35
-444.008,0.15,0.5,0.5,0.1,0.1,0.005,0.2,0.48,0.466667,0.466667,0.166667,0.166667,0.166667,0.15,0.2,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,25.827,50.255,51.479,65.605,68.0403,77.3702,94.3679,99.326,104.384,115.141,116.336,127.255,129.7,130.22,133.71,134.035,145.833,154.529,157.466,157.44,157.656,181.227,182.644,187.691,190.165,193.694,199.421,196.932,199.785,205.129,215.385,224.121,234.467,232.95,240.565,-1.2341,-1.55246,-1.79711,-2.62029,-2.38484,-1.29737,-1.15182,-1.83221,-4.31969,-3.7872,-3.26387,-3.56711,-5.11616,-2.53074,-1.92993,-1.33245,-2.27242,-4.01889,-4.96571,-4.24504,-3.69935,-4.28514,-4.89085,-3.994,-5.21148,-4.1097,-6.84303,-4.92155,-5.84998,-6.01961,-8.67554,-8.4198,-6.92948,-5.18587,-8.77687,25.9071,50.4345,51.2581,65.8473,68.3968,77.5264,94.0908,99.6192,104.975,115.103,115.703,126.721,128.935,130.496,133.084,134.544,146.364,155.368,157.333,157.845,159.773,182.203,183.67,188.115,190.984,192.546,197.733,199.607,201.204,204.794,216.327,225.696,233.112,234.24,239.576
92.5195,0.140553,0.449617,0.489767,0.291054,0.152458,0.00539065,0.0792815,0.402159,0.254608,0.427004,0.60572,0.205838,0.122734,0.140553,0.0792815,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,23.9175,48.2913,50.9648,62.6474,66.0093,76.2113,92.6271,97.3422,100.2,113.315,115.071,122.391,126.882,129.254,132.685,133.246,143.448,150.683,151.441,153.741,153.82,176.77,179.41,183.689,184.246,192.679,192.946,195.919,194.35,200.858,210.01,219.324,224.87,224.997,232.772,0.767701,0.315854,-1.90058,0.277548,0.424994,0.647669,0.618312,0.0462271,0.815048,-1.94874,-1.57723,1.53988,-3.31044,-0.832768,-1.19152,-0.277444,-0.241781,0.409189,0.15336,-0.274725,1.28413,0.840881,-0.466291,-0.302683,-0.307668,-2.14328,-1.35078,-0.0980469,0.2647,-1.2142,-0.349069,-1.3332,1.59843,1.03299,-0.666202,23.9053,48.5661,51.3616,62.9495,65.587,75.5813,92.3207,97.7408,99.84,113.265,114.016,121.614,127.129,128.798,132.346,133.489,144.334,150.94,152.214,153.875,154.79,177.077,179.245,184.424,186.081,190.579,192.241,194.783,195.089,199.988,208,218.609,224.585,228.021,231.465
110.124,0.140538,0.449993,0.489456,0.25754,0.168774,0.00542681,0.0962265,0.391797,0.290372,0.408938,0.508794,0.238538,0.169377,0.140538,0.0962265,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.2197,48.7154,51.3257,63.9928,65.9813,76.1158,92.2608,98.0358,100.282,112.844,115.208,121.614,126.522,128.732,133.212,133.511,144.244,152.398,152.317,153.525,155.373,178.875,181.659,183.687,187.009,192.905,192.678,195.971,196.326,200.846,207.293,219.936,225.142,229.72,229.224,0.457578,0.0515618,-1.6513,-0.102964,0.0302959,0.377796,0.387444,-0.215293,0.0884239,-2.02296,-1.60659,0.713237,-3.34887,-1.00435,-1.26609,-0.246463,-0.467411,-0.421659,-0.62527,-0.608737,0.701813,0.0509896,-1.02799,-0.783359,-0.918266,-2.26246,-2.0458,-0.813354,-0.59985,-1.88814,-1.45272,-2.41795,0.253041,0.026879,-1.67474,24.2154,48.8304,51.1123,63.33,65.9817,75.8512,92.5516,98.0023,100.567,113.339,114.046,122.441,127.168,128.969,132.42,133.458,144.559,151.771,152.992,154.209,155.372,177.867,179.807,184.904,186.691,190.698,192.936,195.498,195.954,200.662,209.104,219.694,225.93,229.027,232.474
163.839,0.13579,0.428749,0.482006,0.173152,0.308927,0.00572234,0.127799,0.230752,0.228076,0.16489,-0.107675,0.513253,0.709931,0.13579,0.127799,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.5702,48.5153,48.793,63.248,66.0467,75.6355,92.7112,98.0322,100.876,111.935,113.064,122.992,123.561,128.496,131.429,133.794,145.252,151.481,151.518,154.711,156.375,178.306,180.655,182.201,185.397,187.544,190.546,193.722,195.494,197.836,209.327,218.735,225.899,229.194,231.166,-0.0517854,0.307066,0.441636,0.2528,0.137933,-0.0484771,0.386442,-0.343369,-0.138093,0.130368,0.65823,-0.0308833,0.114224,-0.152007,0.283522,-0.195127,-0.0404742,-0.251272,-0.0345178,-0.188211,0.33996,-0.297576,-0.242403,0.837422,0.0553469,0.96879,-0.420541,0.697602,-0.377485,-0.461768,-1.62331,0.436943,-0.356951,0.379838,-1.29652,24.7248,48.5749,49.0194,62.9742,65.8741,76.2775,92.5526,98.1304,100.793,111.186,111.781,123.185,123.705,128.117,130.87,133.407,144.132,151.6,152.402,153.788,155.734,178.216,179.021,183.284,185.718,187.467,191.311,193.987,195.731,199.236,209.274,216.839,226.54,228.674,232.096
164.934,0.136106,0.430143,0.482819,0.182257,0.292964,0.00569416,0.123943,0.252379,0.252299,0.202519,0.0178,0.478387,0.595978,0.136106,0.123943,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.9762,49.0251,49.2673,62.9772,65.6759,76.134,93.0226,97.9412,100.576,110.821,112.559,123.985,124.466,128.879,131.754,134.08,144.426,151.782,150.986,154.837,154.402,177.736,181.669,184.395,185.372,186.526,190.197,193.761,195.254,197.395,209.445,217.984,227.393,227.628,231.703,0.0062764,-0.0776896,0.442176,0.148028,0.0712986,-0.00144296,0.357454,-0.355132,-0.163635,-0.242231,0.279608,-0.0302093,-0.485771,-0.341255,0.00455998,-0.163859,-0.134079,-0.399429,-0.198976,-0.272069,0.318925,-0.372112,-0.421677,0.312632,-0.190614,0.485396,-0.841905,0.314153,-0.52596,-0.824786,-1.62893,-0.294166,-0.480175,0.163554,-1.49554,24.6667,48.9597,49.0188,63.079,65.9407,76.2304,92.5815,98.1421,100.819,111.558,112.159,123.184,124.305,128.306,131.149,133.376,144.226,151.748,152.566,153.872,155.755,178.29,179.201,183.808,185.964,187.951,191.732,194.371,195.88,199.599,209.28,217.57,226.663,228.89,232.295
165.079,0.13607,0.430007,0.482748,0.1824,0.293949,0.00569367,0.123804,0.251019,0.250972,0.200562,0.0135897,0.479991,0.600634,0.13607,0.123804,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.8495,48.9212,48.9933,62.7696,66.2268,76.6258,93.1871,97.6548,101.324,111.915,112.759,122.653,126.043,128.499,130.866,132.47,145.092,152.021,151.821,153.252,154.043,177.958,178.794,184.226,187.398,189.737,191.9,194.191,195.172,200.362,209.677,217.68,228.633,227.475,234.407,0.00898747,-0.0589481,0.447058,0.160719,0.0817361,0.00150334,0.363321,-0.349868,-0.147889,-0.218934,0.303051,-0.018031,-0.451094,-0.329036,0.0190079,-0.160866,-0.124273,-0.378161,-0.173846,-0.259258,0.331227,-0.353342,-0.402056,0.344091,-0.165242,0.516126,-0.806684,0.344767,-0.502468,-0.795777,-1.60064,-0.241093,-0.451963,0.191013,-1.46102,24.664,48.9409,49.0139,63.0663,65.9303,76.2275,92.5757,98.1369,100.803,111.535,112.136,123.172,124.27,128.294,131.135,133.373,144.216,151.727,152.541,153.859,155.743,178.271,179.181,183.777,185.938,187.92,191.697,194.34,195.856,199.57,209.252,217.517,226.635,228.863,232.26
165.471,0.13586,0.429305,0.482354,0.184294,0.298653,0.00568173,0.122505,0.244392,0.24439,0.191631,-0.00253358,0.486723,0.620726,0.13586,0.122505,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.6374,49.1767,48.9398,63.2649,65.6824,75.7373,91.9959,98.1706,100.668,110.71,111.769,122.313,123.832,129.448,131.17,134.325,145.629,150.984,152.437,153.388,154.423,178.509,178.878,184.416,185.272,188.692,192.168,192.584,194.305,199.772,209.167,217.418,225.787,227.593,232.935,0.0326088,0.025336,0.47876,0.233763,0.143872,0.0255466,0.399126,-0.316243,-0.0470221,-0.103351,0.418788,0.0646668,-0.284381,-0.267125,0.0856862,-0.138464,-0.0691974,-0.251144,-0.0247427,-0.184348,0.410475,-0.233831,-0.292447,0.50528,-0.0226879,0.668549,-0.614666,0.509571,-0.361769,-0.6396,-1.41612,0.0402838,-0.27367,0.352972,-1.25119,24.6404,48.8567,48.9822,62.9932,65.8681,76.2035,92.5399,98.1032,100.702,111.419,112.02,123.089,124.103,128.232,131.068,133.35,144.161,151.6,152.392,153.784,155.664,178.152,179.071,183.616,185.796,187.767,191.505,194.175,195.716,199.414,209.067,217.236,226.457,228.701,232.05
165.512,0.135842,0.429318,0.482341,0.185098,0.298228,0.0056733,0.12211,0.244926,0.244924,0.192831,0.00288032,0.485384,0.616512,0.135842,0.12211,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.9146,48.9665,48.8993,63.0977,65.0856,76.239,93.7192,98.6843,102.651,111.085,111.955,123.796,124.729,128.695,130.592,132.978,144.595,151.474,152.267,153.271,154.908,179.174,179.283,184.041,185.669,186.745,191.594,195.707,197.081,198.807,206.334,215.998,228.386,229.928,230.015,0.039108,0.0121743,0.482765,0.236582,0.147698,0.0314066,0.401902,-0.312658,-0.0359904,-0.111734,0.409991,0.0762674,-0.300821,-0.270644,0.076959,-0.13387,-0.0679851,-0.243768,-0.0160528,-0.180277,0.419389,-0.222587,-0.289896,0.495327,-0.0196073,0.657569,-0.615518,0.507432,-0.352877,-0.641671,-1.39366,0.0324484,-0.256911,0.360782,-1.23657,24.6339,48.8698,48.9782,62.9904,65.8643,76.1976,92.5371,98.0997,100.691,111.428,112.029,123.078,124.12,128.236,131.077,133.346,144.16,151.593,152.383,153.78,155.655,178.141,179.069,183.626,185.793,187.778,191.506,194.178,195.707,199.416,209.045,217.244,226.44,228.693,232.036
165.887,0.135585,0.429483,0.482061,0.188771,0.296514,0.00557161,0.120356,0.247099,0.246934,0.197646,0.0258455,0.479599,0.599199,0.135585,0.120356,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.3869,48.1919,49.2409,63.5923,65.1385,76.8888,92.5229,98.8523,101.291,109.795,111.679,122.14,124.434,128.437,130.635,132.997,142.797,151.068,151.713,152.741,155.262,179.036,178.117,184.468,185.522,188.728,191.343,194.812,196.081,200.13,207.863,216.376,227.021,230.347,231.596,0.0681677,-0.0423422,0.500594,0.2512,0.166403,0.0576269,0.415239,-0.29579,0.0152146,-0.14498,0.37488,0.130091,-0.36766,-0.283345,0.0414495,-0.112802,-0.0604757,-0.20682,0.0266888,-0.159945,0.461391,-0.168486,-0.275047,0.459017,-0.0004129,0.614596,-0.612059,0.504364,-0.309016,-0.64407,-1.28877,0.00889704,-0.173365,0.403688,-1.16265,24.6048,48.9243,48.9604,62.9758,65.8456,76.1714,92.5238,98.0828,100.64,111.461,112.064,123.024,124.187,128.248,131.113,133.325,144.152,151.556,152.34,153.76,155.613,178.086,179.054,183.662,185.773,187.821,191.502,194.181,195.663,199.418,208.94,217.267,226.356,228.65,231.962
169.344,0.132364,0.432207,0.478309,0.212704,0.2844,0.0044311,0.109752,0.263104,0.255879,0.227473,0.165718,0.440991,0.49606,0.132364,0.109752,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.3695,48.7721,48.8122,62.6549,65.2637,76.1665,91.6903,98.029,100.352,111.259,111.869,122.978,124.569,128.408,131.928,133.578,143.198,151.315,151.92,154.63,155.653,178.592,178.351,185.095,186.558,188.314,191.049,193.121,194.975,200.562,210.525,217.607,223.723,229.7,230.621,0.246618,0.0362382,0.170079,0.336714,0.280505,0.216667,0.49673,-0.190353,0.321851,-0.372184,0.133329,0.478402,-0.808394,-0.355662,-0.185264,0.0137407,-0.0155514,0.0313771,0.278942,-0.0460858,0.725528,0.179133,-0.190139,0.277308,0.119839,0.304435,-0.580319,0.494378,-0.0378438,-0.649098,-0.654393,-0.117938,0.410906,0.713088,-0.702644,24.4264,48.8458,49.2909,62.8903,65.7315,76.0123,92.4423,97.9774,100.333,111.688,112.306,122.676,124.627,128.321,131.339,133.198,144.108,151.318,152.088,153.646,155.348,177.739,178.969,183.844,185.653,188.132,191.47,194.191,195.392,199.423,208.305,217.394,225.772,228.341,231.502
