# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 0
# model = rus
# method = optimize
#   optimize
#     algorithm = lbfgs (Default)
#       lbfgs
#         init_alpha = 0.001 (Default)
#         tol_obj = 9.9999999999999998e-13 (Default)
#         tol_rel_obj = 10000 (Default)
#         tol_grad = 1e-08 (Default)
#         tol_rel_grad = 10000000 (Default)
#         tol_param = 1e-08 (Default)
#         history_size = 5 (Default)
#     iter = 500
#     save_iterations = 1
#     laplace_draws = 250
#     laplace_diag_shift = 0 (Default)
# id = 0 (Default)
# data
#   file = VB-LA_datafiles_VB3-v1/datafile_VB3-v1_45N.dat
# init = init-cij-tbc1.dat
# random
#   seed = 1510519121 (Default)
# output
#   file = VB-LA_outputs_VB3-v1/output_VB3-v1_45N_init-cij-tbc1_1.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,c44_coat,c11_coat,c33_coat,c12_coat,c13_coat,sigma,c66_coat,ct1_coat,Ep,Et,vp,vtp,vpt,Gt,Gp,Csub.1.1,Csub.2.1,Csub.3.1,Csub.4.1,Csub.5.1,Csub.6.1,Csub.1.2,Csub.2.2,Csub.3.2,Csub.4.2,Csub.5.2,Csub.6.2,Csub.1.3,Csub.2.3,Csub.3.3,Csub.4.3,Csub.5.3,Csub.6.3,Csub.1.4,Csub.2.4,Csub.3.4,Csub.4.4,Csub.5.4,Csub.6.4,Csub.1.5,Csub.2.5,Csub.3.5,Csub.4.5,Csub.5.5,Csub.6.5,Csub.1.6,Csub.2.6,Csub.3.6,Csub.4.6,Csub.5.6,Csub.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,yhat.16,yhat.17,yhat.18,yhat.19,yhat.20,yhat.21,yhat.22,yhat.23,yhat.24,yhat.25,yhat.26,yhat.27,yhat.28,yhat.29,yhat.30,yhat.31,yhat.32,yhat.33,yhat.34,yhat.35,yhat.36,yhat.37,yhat.38,yhat.39,yhat.40,yhat.41,yhat.42,yhat.43,yhat.44,yhat.45,residual.1,residual.2,residual.3,residual.4,residual.5,residual.6,residual.7,residual.8,residual.9,residual.10,residual.11,residual.12,residual.13,residual.14,residual.15,residual.16,residual.17,residual.18,residual.19,residual.20,residual.21,residual.22,residual.23,residual.24,residual.25,residual.26,residual.27,residual.28,residual.29,residual.30,residual.31,residual.32,residual.33,residual.34,residual.35,residual.36,residual.37,residual.38,residual.39,residual.40,residual.41,residual.42,residual.43,residual.44,residual.45,calcfq.1,calcfq.2,calcfq.3,calcfq.4,calcfq.5,calcfq.6,calcfq.7,calcfq.8,calcfq.9,calcfq.10,calcfq.11,calcfq.12,calcfq.13,calcfq.14,calcfq.15,calcfq.16,calcfq.17,calcfq.18,calcfq.19,calcfq.20,calcfq.21,calcfq.22,calcfq.23,calcfq.24,calcfq.25,calcfq.26,calcfq.27,calcfq.28,calcfq.29,calcfq.30,calcfq.31,calcfq.32,calcfq.33,calcfq.34,calcfq.35,calcfq.36,calcfq.37,calcfq.38,calcfq.39,calcfq.40,calcfq.41,calcfq.42,calcfq.43,calcfq.44,calcfq.45
-571.724,0.15,0.5,0.5,0.1,0.1,0.005,0.2,0.48,0.466667,0.466667,0.166667,0.166667,0.166667,0.15,0.2,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,25.7629,50.2613,51.0266,66.1009,68.6229,77.1254,94.113,99.3064,105.781,114.755,115.413,127.752,129.226,131.977,132.845,134.763,146.748,155.006,156.505,156.65,159.292,181.168,184.108,188.663,191.77,192.335,197.718,198.566,199.947,205.35,216.465,224.442,233.077,233.576,240.143,250.379,250.336,252.897,255.171,258.514,258.755,261.097,261.274,267.534,271.685,-1.2341,-1.55246,-1.79711,-2.62029,-2.38484,-1.29737,-1.15182,-1.83221,-4.31969,-3.7872,-3.26387,-3.56711,-5.11616,-2.53074,-1.92993,-1.33245,-2.27242,-4.01889,-4.96571,-4.24504,-3.69935,-4.28514,-4.89085,-3.994,-5.21148,-4.1097,-6.84303,-4.92155,-5.84998,-6.01961,-8.67554,-8.4198,-6.92948,-5.18587,-8.77687,-6.16785,-8.42146,-7.46534,-7.23582,-8.8722,-6.68295,-7.95788,-6.32512,-7.7113,-9.05992,25.9071,50.4345,51.2581,65.8473,68.3968,77.5264,94.0908,99.6192,104.975,115.103,115.703,126.721,128.935,130.496,133.084,134.544,146.364,155.368,157.333,157.845,159.773,182.203,183.67,188.115,190.984,192.546,197.733,199.607,201.204,204.794,216.327,225.696,233.112,234.24,239.576,248.264,251.397,252.84,255.778,256.782,257.567,260.932,261.35,266.37,269.508
78.3451,0.137774,0.438336,0.486532,0.327769,0.167172,0.00551035,0.0552835,0.380896,0.189039,0.413574,0.709719,0.21821,0.0997406,0.137774,0.0552835,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,23.4123,47.675,51.2693,62.0008,65.5124,75.0513,92.2212,97.3296,97.7581,112.363,112.385,121.16,125.526,128.371,132.768,133.902,145.421,149.811,150.959,152.448,154.164,174.924,178.477,184.332,185.288,190.48,191.242,194.32,193.489,198.026,205.806,217.845,223.257,225.614,229.819,238.89,241.995,246.286,243.748,244.988,250.728,250.101,253.677,260.429,260.774,1.23592,0.747854,-1.81747,1.03808,1.15819,1.04526,1.02297,0.483879,2.13293,-1.38037,-1.05318,2.89331,-2.54838,-0.402475,-0.904132,-0.108222,0.266292,2.02894,1.83794,0.457761,2.13891,2.24657,0.730446,0.684351,1.01065,-0.781231,-0.0692729,1.5369,1.89841,0.338672,1.81081,1.29848,3.95418,3.11227,1.19335,2.47783,0.718297,1.55458,3.37898,-0.181449,-1.37759,0.311817,-0.502761,0.121635,1.26547,23.4371,48.1341,51.2785,62.1889,64.8538,75.1837,91.916,97.3031,98.5221,112.696,113.492,120.261,126.367,128.367,132.058,133.32,143.826,149.32,150.529,153.142,153.935,175.671,178.049,183.437,184.762,189.217,190.959,193.148,193.456,198.435,205.84,215.978,222.229,225.942,229.606,239.618,242.258,243.82,245.163,248.091,252.262,252.662,255.528,258.537,259.183
132.038,0.140296,0.450979,0.489188,0.238149,0.163325,0.00550712,0.106415,0.396449,0.311404,0.411771,0.463161,0.237003,0.179234,0.140296,0.106415,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.4589,48.7345,51.1755,63.6073,66.6974,75.8553,93.7098,98.9923,100.73,114.473,114.632,123.36,128.044,129.552,133.923,134.553,144.904,151.533,154.054,155.603,155.216,177.922,181.658,184.29,188.177,191.023,193.614,195.409,195.795,201.332,210.143,221.448,224.255,229.522,233.355,243.204,246.19,250.026,251.082,253.116,253.98,256.784,256.15,261.508,262.728,0.27559,-0.113066,-1.62327,-0.36482,-0.226367,0.212797,0.234697,-0.38006,-0.379603,-2.17172,-1.73893,0.231332,-3.50973,-1.14456,-1.33334,-0.313441,-0.638227,-0.922583,-1.15745,-0.870238,0.311674,-0.440629,-1.40613,-1.10956,-1.35304,-2.42366,-2.57751,-1.27892,-1.15228,-2.31967,-2.23193,-3.12843,-0.567878,-0.579793,-2.38194,-1.06474,-3.41762,-3.13577,-1.77264,-3.37709,-3.52737,-2.94401,-2.98411,-3.27241,-3.56217,24.3974,48.9951,51.0843,63.5918,66.2384,76.0162,92.7043,98.1671,101.035,113.488,114.178,122.923,127.329,129.11,132.487,133.525,144.73,152.272,153.524,154.47,155.762,178.359,180.185,185.231,187.126,190.86,193.468,195.964,196.506,201.094,209.883,220.404,226.751,229.634,233.181,243.161,246.394,248.511,250.315,251.287,254.411,255.918,258.009,261.931,264.01
151.886,0.139461,0.447129,0.48814,0.249984,0.172804,0.0055317,0.0985722,0.385955,0.293588,0.402468,0.489204,0.247885,0.180825,0.139461,0.0985722,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.3813,48.7574,51.0889,63.8798,66.1941,75.784,92.6008,97.1483,99.5564,112.404,113.937,121.722,128.329,128.677,132.403,133.673,145.177,153.019,152.134,154.651,155.141,178.508,180.344,185.014,187.369,192.842,193.58,196.341,194.632,200.206,209.114,220.433,227.615,230.425,231.224,243.176,246.447,247.54,250.802,249.974,253.907,253.154,258.597,263.154,262.246,0.41677,0.0220571,-1.56109,-0.129272,-0.00394461,0.342458,0.365234,-0.243334,0.0202172,-1.97304,-1.54787,0.61829,-3.26511,-1.0026,-1.24463,-0.223015,-0.475672,-0.491854,-0.670969,-0.622201,0.636601,-0.0300414,-1.05372,-0.808403,-0.946242,-2.17029,-2.07114,-0.839419,-0.667534,-1.91234,-1.52823,-2.45066,0.120072,-0.0489224,-1.74803,-0.527517,-2.79268,-2.51773,-0.982682,-2.82461,-3.17997,-2.38571,-2.58744,-2.7668,-2.86334,24.2562,48.8599,51.0221,63.3563,66.0159,75.8865,92.5738,98.0303,100.635,113.289,113.987,122.536,127.084,128.968,132.399,133.435,144.568,151.841,153.038,154.222,155.437,177.948,179.833,184.929,186.719,190.606,192.961,195.524,196.022,200.686,209.179,219.727,226.063,229.103,232.547,242.624,245.769,247.893,249.525,250.735,254.064,255.36,257.612,261.426,263.311
178.615,0.137064,0.436954,0.484755,0.263379,0.213936,0.00560186,0.0867878,0.342539,0.259195,0.35405,0.493267,0.305477,0.223635,0.137064,0.0867878,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.0302,48.7551,50.876,62.8865,65.9142,76.2196,92.5249,98.3248,100.316,112.704,113.449,122.417,125.441,128.083,132.244,133.238,144.32,149.021,152.151,152.68,154.862,178.102,177.943,183.873,183.857,190.378,190.913,195.267,196.742,201.403,208.784,217.371,227.749,227.858,230.047,243.733,244.805,245.26,247.895,248.631,252.771,254.469,255.427,263.705,261.133,0.638675,0.261503,-1.12612,0.372402,0.43989,0.547901,0.615595,0.00377806,0.798446,-1.32754,-0.89556,1.2801,-2.38947,-0.653823,-0.94625,0.045665,-0.107279,0.403673,0.424025,-0.0898428,1.19143,0.754451,-0.282148,-0.141415,-0.0282323,-1.24517,-0.892318,0.179461,0.303733,-0.99013,-0.0190376,-0.821304,1.40857,1.07411,-0.461692,0.579591,-1.36546,-0.970121,0.686989,-1.49212,-2.02215,-1.14545,-1.50374,-1.71396,-1.30899,24.0343,48.6205,50.5871,62.8546,65.5721,75.6811,92.3234,97.7832,99.8566,112.644,113.335,121.874,126.208,128.619,132.1,133.166,144.199,150.945,151.943,153.69,154.883,177.164,179.061,184.262,185.801,189.681,191.782,194.506,195.05,199.764,207.67,218.097,224.774,227.98,231.261,241.516,244.341,246.345,247.855,249.402,252.906,254.119,256.529,260.373,261.757
192.699,0.135709,0.43176,0.482557,0.253045,0.247565,0.00565165,0.0893573,0.304753,0.252626,0.303562,0.413575,0.361511,0.300852,0.135709,0.0893573,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.1024,48.7996,50.049,62.9717,65.0897,75.5281,92.8005,97.8588,99.1702,111.983,113.167,121.27,124.728,128.632,131.57,133.129,142.902,151.741,152.068,155.162,155.79,178.123,180.061,183.828,185.77,189.94,191.087,192.747,197.033,199.571,209.227,216.507,226.141,225.35,231.436,240.402,245.043,246.219,248.508,249.575,252.969,257.522,256.567,256.479,260.221,0.59895,0.27124,-0.618428,0.51439,0.527136,0.521362,0.656994,0.02191,0.911948,-0.854959,-0.395287,1.24865,-1.68429,-0.480405,-0.663401,0.152992,0.0286429,0.570927,0.743742,0.0869167,1.22481,0.841496,-0.0320737,0.127043,0.296426,-0.520551,-0.444277,0.553264,0.497939,-0.655668,0.3461,-0.171439,1.51138,1.29359,-0.124583,0.830198,-0.839867,-0.30647,1.0882,-0.977173,-1.13358,-0.786859,-0.959458,-1.49946,-0.868029,24.074,48.6108,50.0794,62.7126,65.4849,75.7076,92.282,97.7651,99.7431,112.171,112.834,121.905,125.503,128.445,131.817,133.059,144.063,150.778,151.623,153.513,154.849,177.077,178.811,183.994,185.477,188.957,191.334,194.132,194.856,199.43,207.305,217.447,224.672,227.76,230.924,241.266,243.816,245.681,247.454,248.887,252.018,253.761,255.984,260.158,261.316
205.81,0.134262,0.426729,0.480096,0.226835,0.28791,0.00570716,0.0999472,0.254072,0.242519,0.226434,0.213237,0.440523,0.471815,0.134262,0.0999472,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.2926,48.6875,49.1805,62.623,65.5088,74.8268,92.2194,98.0852,100.124,113.525,112.429,122.849,125.073,127.535,131.152,133.247,142.116,151.537,150.777,152.716,154.733,177.569,178.406,183.156,184.387,188.398,189.46,192.764,194.805,196.692,207.885,217.198,226.364,228.653,231.351,238.68,244.147,247.136,243.282,250.892,251.154,253.476,256.309,260.387,260.515,0.419803,0.193029,0.188631,0.593554,0.525154,0.375243,0.640011,-0.0388113,0.791075,-0.182502,0.3151,0.927782,-0.602137,-0.240951,-0.149989,0.134319,0.145832,0.549007,0.863235,0.199109,1.07329,0.689642,0.16713,0.576228,0.563353,0.519962,-0.0194534,0.949419,0.502703,-0.262189,0.235638,0.596762,1.18785,1.29129,0.016451,0.965969,-0.148668,0.738485,1.2148,-0.57329,0.250475,-0.513793,-0.382469,-1.42654,-0.499048,24.2532,48.689,49.2724,62.6334,65.4868,75.8538,92.299,97.8258,99.8639,111.499,112.124,122.226,124.421,128.206,131.304,133.078,143.946,150.8,151.504,153.401,155.001,177.228,178.612,183.545,185.21,187.916,190.909,193.736,194.851,199.036,207.415,216.679,224.995,227.763,230.783,241.13,243.125,244.637,247.327,248.483,250.634,253.488,255.407,260.086,260.947
211.771,0.134173,0.426832,0.480294,0.214995,0.285573,0.00571193,0.105919,0.257036,0.249088,0.226169,0.175848,0.444937,0.490025,0.134173,0.105919,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.3319,48.7645,49.4666,62.3246,65.4123,75.2621,91.5181,97.8549,100.579,112.293,111.953,122.866,124.922,127.893,131.355,135.2,143.441,150.104,152.397,152.971,157.368,176.811,180.026,183.753,185.03,186.59,189.996,193.268,196.051,199.209,208.188,215.813,226.89,227.892,230.435,240.549,241.061,245.629,249.525,248.193,248.63,255.612,255.043,260.723,261.708,0.31409,0.102402,0.214314,0.453207,0.388303,0.279488,0.558175,-0.127406,0.521513,-0.256319,0.247071,0.663288,-0.665943,-0.296613,-0.149976,0.0597513,0.0560529,0.255632,0.537931,0.0625136,0.868603,0.388401,-0.0243539,0.432857,0.319243,0.438161,-0.314606,0.712214,0.198925,-0.466588,-0.286238,0.232639,0.711244,0.940351,-0.406779,0.654371,-0.459663,0.479889,0.72311,-0.922877,0.0235105,-0.784314,-0.604155,-1.71362,-0.877273,24.3589,48.7796,49.2467,62.7738,65.6237,75.9495,92.3808,97.9144,100.133,111.572,112.192,122.491,124.485,128.262,131.304,133.152,144.036,151.093,151.829,153.537,155.205,177.53,178.803,183.688,185.454,187.998,191.205,193.973,195.155,199.241,207.937,217.043,225.472,228.114,231.206,241.442,243.436,244.895,247.819,248.833,250.86,253.758,255.629,260.373,261.325
214.788,0.133805,0.426226,0.480116,0.196505,0.288455,0.00571763,0.114861,0.252922,0.250794,0.212887,0.0917312,0.463209,0.54569,0.133805,0.114861,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.5447,48.5356,48.9942,62.6965,65.4262,75.5495,91.9001,97.3791,100.353,110.28,112.486,122.859,123.738,127.612,131.409,133.934,145.67,151.976,152.032,152.322,156.022,178.119,180.623,182.28,188.018,189.226,190.127,195.213,193.466,197.264,206.399,218.516,227.069,229.484,230.623,243.08,243.218,244.622,245.928,249.774,250.997,253.922,256.236,257.753,259.212,0.160758,-0.0139982,0.380606,0.310575,0.236739,0.140991,0.462568,-0.237428,0.191479,-0.222592,0.291113,0.319422,-0.537591,-0.307139,-0.0542784,-0.0435691,-0.0267968,-0.0600704,0.190409,-0.084315,0.606902,0.0250506,-0.200487,0.398497,0.0933175,0.510732,-0.54767,0.541241,-0.138557,-0.608295,-0.922927,0.0115295,0.140089,0.582411,-0.888843,0.38601,-0.585918,0.398082,0.287146,-1.2508,-0.0119566,-1.0282,-0.748913,-1.957,-1.17411,24.5122,48.896,49.0804,62.9164,65.7753,76.088,92.4764,98.0244,100.464,111.539,112.148,122.835,124.357,128.272,131.208,133.256,144.119,151.409,152.177,153.684,155.467,177.893,178.979,183.723,185.68,187.925,191.438,194.144,195.493,199.382,208.574,217.264,226.043,228.472,231.688,241.71,243.562,244.977,248.255,249.161,250.896,254.002,255.774,260.616,261.622
214.905,0.133737,0.426313,0.480111,0.194676,0.286991,0.00570746,0.115818,0.254761,0.252662,0.214845,0.0907708,0.462151,0.5435,0.133737,0.115818,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.6164,49.0877,48.7899,62.0315,66.124,75.8159,92.3696,98.1339,100.455,111.584,112.211,122.684,123.211,128.312,130.695,132.331,143.974,150.661,152.359,151.938,155.831,178.113,177.498,182.994,187.341,188.709,190.306,195.359,196.165,199.671,207.855,216.206,226.426,226.017,231.137,242.823,243.681,246.282,247.604,249.149,250.743,253.151,256.32,263.582,262.372,0.14398,-0.0307231,0.36495,0.279705,0.208686,0.125022,0.445921,-0.254248,0.14025,-0.255521,0.258635,0.273963,-0.579877,-0.325724,-0.0683332,-0.0568983,-0.0483852,-0.117604,0.123403,-0.115881,0.567479,-0.0325006,-0.244395,0.351868,0.0369006,0.468329,-0.618575,0.482302,-0.201094,-0.662318,-1.01935,-0.0843112,0.0537551,0.513757,-0.980541,0.316616,-0.670518,0.315739,0.191503,-1.33521,-0.0933468,-1.09115,-0.803807,-2.01874,-1.26128,24.529,48.9127,49.096,62.9473,65.8033,76.104,92.4931,98.0412,100.515,111.572,112.18,122.88,124.399,128.291,131.222,133.269,144.14,151.467,152.244,153.716,155.507,177.951,179.023,183.769,185.736,187.968,191.509,194.203,195.555,199.436,208.67,217.36,226.129,228.54,231.78,241.779,243.647,245.059,248.35,249.245,250.977,254.065,255.829,260.678,261.709
