# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 0
# model = rus
# method = optimize
#   optimize
#     algorithm = lbfgs (Default)
#       lbfgs
#         init_alpha = 0.001 (Default)
#         tol_obj = 9.9999999999999998e-13 (Default)
#         tol_rel_obj = 10000 (Default)
#         tol_grad = 1e-08 (Default)
#         tol_rel_grad = 10000000 (Default)
#         tol_param = 1e-08 (Default)
#         history_size = 5 (Default)
#     iter = 500
#     save_iterations = 1
#     laplace_draws = 250
#     laplace_diag_shift = 0 (Default)
# id = 0 (Default)
# data
#   file = VB-LA_datafiles_VB4-v1/datafile_VB4-v1_15N.dat
# init = init-cij-tbc1.dat
# random
#   seed = 1204878694 (Default)
# output
#   file = VB-LA_outputs_VB4-v1/output_VB4-v1_15N_init-cij-tbc1_1.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,c44_coat,c11_coat,c33_coat,c12_coat,c13_coat,sigma,c66_coat,ct1_coat,Ep,Et,vp,vtp,vpt,Gt,Gp,Csub.1.1,Csub.2.1,Csub.3.1,Csub.4.1,Csub.5.1,Csub.6.1,Csub.1.2,Csub.2.2,Csub.3.2,Csub.4.2,Csub.5.2,Csub.6.2,Csub.1.3,Csub.2.3,Csub.3.3,Csub.4.3,Csub.5.3,Csub.6.3,Csub.1.4,Csub.2.4,Csub.3.4,Csub.4.4,Csub.5.4,Csub.6.4,Csub.1.5,Csub.2.5,Csub.3.5,Csub.4.5,Csub.5.5,Csub.6.5,Csub.1.6,Csub.2.6,Csub.3.6,Csub.4.6,Csub.5.6,Csub.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,residual.1,residual.2,residual.3,residual.4,residual.5,residual.6,residual.7,residual.8,residual.9,residual.10,residual.11,residual.12,residual.13,residual.14,residual.15,calcfq.1,calcfq.2,calcfq.3,calcfq.4,calcfq.5,calcfq.6,calcfq.7,calcfq.8,calcfq.9,calcfq.10,calcfq.11,calcfq.12,calcfq.13,calcfq.14,calcfq.15
-701.381,0.15,0.5,0.5,0.1,0.1,0.005,0.2,0.48,0.466667,0.466667,0.166667,0.166667,0.166667,0.15,0.2,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,65.1875,118.033,121.519,152.722,154.743,158.776,184.69,194.641,239.417,239.241,242.356,259.791,261.193,265.481,269.203,-4.51709,-6.07029,-7.30985,-7.95078,-5.95095,-8.15862,-4.84522,-6.47004,-15.0568,-10.9618,-10.5177,-11.4726,-10.0551,-13.2329,-14.7395,64.9426,118.398,121.885,153.009,155.018,158.151,185.644,195.607,237.465,240.917,243.813,259.258,261.633,266.637,270.129
-63.4946,0.141468,0.459041,0.490717,0.257217,0.140262,0.00533112,0.100912,0.41895,0.306421,0.435783,0.518263,0.195826,0.137695,0.141468,0.100912,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,58.8551,111.617,122.124,146.779,149.511,150.203,179.898,188.353,224.137,235.741,239.593,250.234,250.621,254.565,264.301,1.32885,0.592305,-7.6181,-0.65845,0.283358,-0.04077,0.540333,-0.84184,0.190873,-7.01546,-6.24685,-3.14657,-2.76461,-2.55872,-7.23394,59.0966,111.736,122.193,145.716,148.784,150.033,180.259,189.979,222.217,236.97,239.542,250.932,254.343,255.963,262.624
23.2501,0.134664,0.43125,0.48143,0.247297,0.258453,0.00560785,0.0919763,0.292501,0.252218,0.284546,0.371105,0.380891,0.337618,0.134664,0.0919763,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,59.1078,110.792,117.027,143.232,146.754,147.61,178.351,187.762,218.139,231.761,235.024,249.261,253.576,254.854,259.164,2.02084,1.57126,-1.98159,2.00051,1.66482,1.66172,1.83817,0.423543,4.09944,-2.49422,-1.29167,0.315143,-0.0408066,-0.951781,-1.8311,58.4047,110.757,116.557,143.057,147.402,148.33,178.961,188.713,218.309,232.449,234.587,247.47,251.619,254.356,257.221
40.6664,0.133326,0.426299,0.479425,0.228366,0.289244,0.00568223,0.0989662,0.251793,0.240272,0.223837,0.213909,0.44182,0.474261,0.133326,0.0989662,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,58.698,110.682,113.691,143.187,146.522,146.656,179.747,187.814,218.539,229.823,231.299,245.749,250.695,255.576,257.227,1.55159,1.19883,0.638557,2.16134,1.71031,1.40363,1.82648,0.35725,3.67911,-0.707121,0.447635,0.753003,-0.906076,-0.499891,-0.311378,58.8739,111.129,113.936,142.897,147.357,148.588,178.973,188.78,218.729,230.662,232.847,247.032,252.484,253.904,255.701
52.1677,0.133645,0.427869,0.479975,0.218714,0.28311,0.00568398,0.104578,0.260878,0.250623,0.232052,0.198266,0.437856,0.472898,0.133645,0.104578,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,59.9218,111.277,113.727,142.968,148.465,148.805,179.598,188.786,220.898,230.006,232.582,251.724,253.759,255.418,257.037,1.16103,0.762466,0.357497,1.48555,1.13765,1.03396,1.46227,-0.0233253,2.41896,-1.2533,-0.168895,-0.021673,-2.09749,-0.955907,-0.838365,59.2645,111.566,114.218,143.572,147.929,148.958,179.337,189.16,219.989,231.208,233.464,247.807,253.675,254.36,256.228
57.9165,0.133696,0.428538,0.480113,0.207064,0.282233,0.00569489,0.110737,0.262628,0.256179,0.229467,0.156702,0.444041,0.49573,0.133696,0.110737,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,59.7707,111.338,113.393,143.303,149.297,150.512,180.575,188.34,221.841,232.156,234.82,248.017,252.714,254.342,257.208,0.747401,0.3295,0.555525,0.960894,0.698352,0.654201,1.14681,-0.357273,1.29451,-1.39114,-0.379878,-0.491592,-2.97113,-1.43838,-1.16836,59.6781,111.998,114.019,144.097,148.369,149.338,179.652,189.494,221.113,231.346,233.675,248.277,254.549,254.842,256.558
59.6283,0.133587,0.428814,0.480029,0.195785,0.282975,0.00570692,0.116515,0.262002,0.258798,0.223625,0.110582,0.45305,0.524308,0.133587,0.116515,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,59.8985,112.178,113.791,144.568,149.72,150.891,181.055,189.662,221.871,231.753,232.928,247.968,252.157,257.725,257.474,0.37028,-0.0538951,0.893269,0.556333,0.359965,0.315783,0.880356,-0.638092,0.34643,-1.36839,-0.424012,-0.768807,-3.07513,-2.25305,-1.57391,60.0552,112.382,113.682,144.502,148.707,149.676,179.919,189.775,222.062,231.323,233.719,248.554,254.653,255.657,256.964
59.6439,0.133516,0.428817,0.479947,0.195795,0.282478,0.00570622,0.116511,0.262561,0.259238,0.224448,0.112506,0.452246,0.522345,0.133516,0.116511,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,60.3473,112.005,114.229,146.106,150.343,150.334,179.237,187.32,220.47,232.548,233.852,247.973,256.423,256.006,257.798,0.370487,-0.0563957,0.857747,0.54304,0.351538,0.311177,0.875562,-0.64243,0.333738,-1.39719,-0.452772,-0.78968,-3.09365,-2.25995,-1.58197,60.055,112.384,113.717,144.515,148.715,149.681,179.923,189.779,222.074,231.352,233.748,248.575,254.672,255.664,256.972
59.724,0.132921,0.428533,0.479238,0.195424,0.280549,0.00570443,0.116555,0.264298,0.260618,0.226952,0.118005,0.449629,0.516326,0.132921,0.116555,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,60.1214,112.208,114.167,144.847,150.087,149.81,180.411,190.173,221.856,232.417,231.595,251.15,254.988,259.122,255.186,0.369056,-0.0671986,0.751224,0.501238,0.324978,0.295338,0.861847,-0.653263,0.292393,-1.47547,-0.531328,-0.838548,-3.13297,-2.27219,-1.59801,60.0564,112.395,113.824,144.557,148.742,149.697,179.937,189.79,222.116,231.43,233.826,248.624,254.711,255.676,256.988
59.9154,0.131074,0.427489,0.476989,0.194082,0.276334,0.00569997,0.116704,0.267399,0.263078,0.231286,0.127122,0.444575,0.505686,0.131074,0.116704,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,60.9473,112.966,113.407,143.872,147.99,149.752,179.752,189.94,225.196,233.473,234.628,251.008,254.302,258.11,255.644,0.365208,-0.0898364,0.566939,0.429216,0.280145,0.266303,0.842298,-0.664359,0.222758,-1.59014,-0.646673,-0.887814,-3.15785,-2.26981,-1.60398,60.0603,112.418,114.008,144.629,148.787,149.726,179.957,189.801,222.185,231.545,233.942,248.673,254.736,255.674,256.994
