# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 0
# model = rus
# method = optimize
#   optimize
#     algorithm = lbfgs (Default)
#       lbfgs
#         init_alpha = 0.001 (Default)
#         tol_obj = 9.9999999999999998e-13 (Default)
#         tol_rel_obj = 10000 (Default)
#         tol_grad = 1e-08 (Default)
#         tol_rel_grad = 10000000 (Default)
#         tol_param = 1e-08 (Default)
#         history_size = 5 (Default)
#     iter = 500
#     save_iterations = 1
#     laplace_draws = 250
#     laplace_diag_shift = 0 (Default)
# id = 0 (Default)
# data
#   file = VB-LA_datafiles_VB4-v1/datafile_VB4-v1_30N.dat
# init = init-cij-tbc1.dat
# random
#   seed = 1550357403 (Default)
# output
#   file = VB-LA_outputs_VB4-v1/output_VB4-v1_30N_init-cij-tbc1_1.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,c44_coat,c11_coat,c33_coat,c12_coat,c13_coat,sigma,c66_coat,ct1_coat,Ep,Et,vp,vtp,vpt,Gt,Gp,Csub.1.1,Csub.2.1,Csub.3.1,Csub.4.1,Csub.5.1,Csub.6.1,Csub.1.2,Csub.2.2,Csub.3.2,Csub.4.2,Csub.5.2,Csub.6.2,Csub.1.3,Csub.2.3,Csub.3.3,Csub.4.3,Csub.5.3,Csub.6.3,Csub.1.4,Csub.2.4,Csub.3.4,Csub.4.4,Csub.5.4,Csub.6.4,Csub.1.5,Csub.2.5,Csub.3.5,Csub.4.5,Csub.5.5,Csub.6.5,Csub.1.6,Csub.2.6,Csub.3.6,Csub.4.6,Csub.5.6,Csub.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,yhat.16,yhat.17,yhat.18,yhat.19,yhat.20,yhat.21,yhat.22,yhat.23,yhat.24,yhat.25,yhat.26,yhat.27,yhat.28,yhat.29,yhat.30,residual.1,residual.2,residual.3,residual.4,residual.5,residual.6,residual.7,residual.8,residual.9,residual.10,residual.11,residual.12,residual.13,residual.14,residual.15,residual.16,residual.17,residual.18,residual.19,residual.20,residual.21,residual.22,residual.23,residual.24,residual.25,residual.26,residual.27,residual.28,residual.29,residual.30,calcfq.1,calcfq.2,calcfq.3,calcfq.4,calcfq.5,calcfq.6,calcfq.7,calcfq.8,calcfq.9,calcfq.10,calcfq.11,calcfq.12,calcfq.13,calcfq.14,calcfq.15,calcfq.16,calcfq.17,calcfq.18,calcfq.19,calcfq.20,calcfq.21,calcfq.22,calcfq.23,calcfq.24,calcfq.25,calcfq.26,calcfq.27,calcfq.28,calcfq.29,calcfq.30
-2290.37,0.15,0.5,0.5,0.1,0.1,0.005,0.2,0.48,0.466667,0.466667,0.166667,0.166667,0.166667,0.15,0.2,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,65.237,118.274,121.681,153.33,155.124,158.573,184.518,196.106,238.785,240.17,243.445,259.714,259.988,269.047,269.12,281.535,286.155,302.593,308.921,333.477,340.283,356.584,360.235,366.719,371.223,385.507,390.391,393.576,396.191,403.104,-4.51709,-6.07029,-7.30985,-7.95078,-5.95095,-8.15862,-4.84522,-6.47004,-15.0568,-10.9618,-10.5177,-11.4726,-10.0551,-13.2329,-14.7395,-15.7131,-9.76287,-14.2515,-15.7823,-23.3424,-24.8172,-23.1437,-24.3741,-23.6127,-26.168,-33.2321,-36.9672,-32.8605,-32.9225,-38.8953,64.9426,118.398,121.885,153.009,155.018,158.151,185.644,195.607,237.465,240.917,243.813,259.258,261.633,266.637,270.129,281.639,285.603,303.587,309.392,332.09,340.526,354.77,360.196,364.608,372.546,383.568,388.745,394.037,394.425,404.849
-130.225,0.135765,0.44953,0.483864,0.270909,0.148009,0.00551222,0.0893108,0.404256,0.278319,0.42305,0.558148,0.205442,0.135158,0.135765,0.0893108,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,58.5603,111.201,122.709,147.599,147.078,148.962,180.304,188.17,218.882,235.059,238.41,248.201,252.532,255.206,261.463,273.919,279.013,295.174,296.509,306.855,310.971,331.905,342.712,344.414,349.1,351.511,362.624,370.039,384.83,387.208,2.17324,1.54835,-7.22807,0.813163,1.03963,1.32617,1.33025,0.0226818,2.82522,-5.87796,-5.07706,-0.556261,-0.90504,-1.35462,-6.18393,-8.28369,-3.13249,-3.57011,-2.0015,1.15538,1.78332,-2.21703,-5.89733,-3.53447,-5.44785,-3.52475,-11.9764,-9.72408,-19.3235,-19.6609,58.2523,110.78,121.803,144.245,148.027,148.666,179.469,189.114,219.583,235.833,238.372,248.341,252.483,254.759,261.574,274.21,278.972,292.905,295.611,307.593,313.926,333.843,341.719,344.529,351.826,353.861,363.754,370.901,380.825,385.615
-93.0354,0.13444,0.445075,0.48212,0.289265,0.157835,0.00553086,0.0779051,0.393404,0.249911,0.414272,0.603943,0.214934,0.12966,0.13444,0.0779051,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,57.8182,109.377,122.998,143.074,147.512,146.918,179.091,188.766,216.802,234.705,239.028,244.655,249.54,250.551,259.915,269.805,276.433,287.976,293.563,298.949,307.959,331.634,338.018,341.082,348.336,352.989,359.999,365.592,375.751,379.772,3.02717,2.50693,-6.99452,2.3002,2.13235,2.32301,2.07754,0.837963,5.47901,-4.86196,-4.04223,2.21628,0.758941,-0.474376,-5.31593,-6.49936,-2.21686,-1.57652,-0.0950073,4.94525,5.87444,0.867631,-2.3657,0.217389,-1.15846,0.790675,-7.15036,-4.34927,-16.0623,-13.912,57.3983,109.821,121.57,142.758,146.935,147.669,178.721,188.299,216.929,234.817,237.337,245.569,250.819,253.878,260.706,272.425,278.057,290.912,293.705,303.803,309.835,330.758,338.188,340.778,347.536,349.545,358.928,365.526,377.564,379.866
106.185,0.124618,0.423172,0.467271,0.217848,0.291877,0.00598367,0.102662,0.240853,0.235612,0.201469,0.147515,0.455333,0.532498,0.124618,0.102662,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,58.8578,111.113,113.831,141.635,148.605,150.146,177.411,188.596,219.933,229.748,230.882,246.333,252.519,253.105,254.967,263.257,275.578,289.654,291.075,307.846,313.05,329.185,332.335,338.379,344.927,353.579,352.355,363.043,361.81,370.139,1.33353,0.992717,1.5155,2.18064,1.70123,1.2829,1.85912,0.412449,3.4432,0.131073,1.24373,1.40261,-1.08977,0.2966,0.246127,2.19422,0.624339,0.563804,1.33466,4.04526,6.02683,2.9379,0.777768,1.74138,0.353009,-0.0222646,-1.75889,0.240393,-2.40311,-4.88501,59.092,111.335,113.06,142.877,147.366,148.709,178.94,188.725,218.965,229.824,232.051,246.382,252.668,253.107,255.144,263.732,275.216,288.771,292.275,304.703,309.682,328.688,335.044,339.254,346.025,350.358,353.537,360.937,363.905,370.839
111.558,0.124534,0.423687,0.467618,0.216773,0.280008,0.00599036,0.103457,0.256019,0.246601,0.22278,0.191801,0.437199,0.483947,0.124534,0.103457,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,59.5639,111.68,113.596,143.247,148.02,149.597,178.094,190.318,219.813,232.464,231.509,250.353,254.834,254.243,256.227,262.343,275.063,288.137,292.7,303.586,309.272,327.213,334.68,340.672,349.362,351.701,359.047,361.659,365.907,375.367,1.27175,0.87063,0.607549,1.75402,1.35828,1.16807,1.66753,0.225778,2.90182,-0.71032,0.389964,0.735799,-1.38605,-0.312691,-0.253822,0.584071,0.10393,-0.264648,0.632969,3.00818,4.78427,1.71775,-0.579444,0.455577,-0.843286,-1.1799,-4.26032,-2.08115,-4.56124,-7.15135,59.1537,111.457,113.967,143.304,147.709,148.824,179.131,188.911,219.506,230.665,232.905,247.049,252.964,253.717,255.644,265.342,275.736,289.6,292.977,305.74,310.925,329.908,336.401,340.539,347.221,351.516,356.038,363.258,366.063,373.105
117.84,0.123753,0.422643,0.466756,0.208081,0.281602,0.00603309,0.107281,0.252747,0.246978,0.215299,0.151078,0.446475,0.51217,0.123753,0.107281,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,59.1575,110.472,113.672,143.616,145.916,150.534,181.172,190.625,219.613,231.828,231.546,246.793,253.663,253.153,255.478,264.088,275.331,288.762,291.108,305.498,315.569,331.701,337.855,339.623,347.252,349.724,359.678,365.673,364.099,373.148,1.0199,0.621162,1.00411,1.53759,1.15906,0.969104,1.52287,0.0710217,2.32417,-0.534928,0.520197,0.656631,-2.0201,-0.258815,-0.276782,1.01265,0.121673,-0.240583,0.465996,2.2587,4.02587,1.33055,-0.541255,0.296975,-1.03739,-1.9677,-3.6244,-2.07266,-4.51918,-6.7729,59.4056,111.707,113.571,143.52,147.908,149.023,179.276,189.066,220.084,230.49,232.775,247.128,253.598,253.663,255.667,264.913,275.718,289.576,293.144,306.489,311.683,330.295,336.363,340.698,347.415,352.304,355.402,363.25,366.021,372.727
125.243,0.121635,0.42005,0.464262,0.188497,0.285269,0.00613168,0.115777,0.244764,0.244051,0.19681,0.0539729,0.468771,0.581294,0.121635,0.115777,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,59.8009,112.248,112.641,143.265,147.66,148.98,181.497,188.427,221.754,230.516,231.078,246.804,252.647,253.032,258.021,263.017,273.617,290.07,292.996,305.228,313.815,332.129,334.486,340.205,346.089,352.733,355.118,363.788,367.686,366.802,0.47829,0.0986493,1.98273,1.16295,0.806285,0.556283,1.23516,-0.229294,1.16825,-9.83105e-05,0.959247,0.720381,-1.65935,-1.28661,-0.619646,2.27829,0.25237,0.072559,0.296869,0.901758,2.68035,0.856006,-0.0558123,0.505828,-1.0106,-2.56414,-1.91091,-1.2592,-4.06756,-5.5032,59.9472,112.229,112.592,143.895,148.261,149.436,179.564,189.366,221.24,229.955,232.336,247.065,253.237,254.691,256.01,263.648,275.588,289.262,293.313,307.846,313.029,330.77,335.878,340.489,347.389,352.9,353.689,362.436,365.57,371.457
126.406,0.120407,0.419063,0.462734,0.181358,0.283434,0.0061691,0.118853,0.245455,0.24521,0.19514,0.0315722,0.472058,0.593181,0.120407,0.118853,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,59.7568,113.066,111.395,142.839,149.62,149.447,177.814,188.258,221.251,228.866,232.311,246.931,253.015,253.984,256.567,266.053,274.587,287.64,294.36,310.052,314.086,330.266,335.903,342.922,346.769,351.729,353.498,357.933,368.447,373.782,0.287542,-0.0986416,2.11212,0.958195,0.628726,0.391892,1.10226,-0.361382,0.687914,0.0205109,0.946129,0.641962,-1.63391,-1.52002,-0.948034,2.38089,0.211546,0.0542456,0.142958,0.310613,2.04968,0.549809,-0.0821528,0.438966,-1.12079,-2.23415,-2.29707,-1.27026,-4.16821,-5.37724,60.138,112.427,112.463,144.1,148.438,149.6,179.697,189.498,221.72,229.934,232.349,247.143,253.212,254.924,256.338,263.545,275.628,289.281,293.467,308.437,313.659,331.076,335.904,340.556,347.499,352.57,354.075,362.447,365.67,371.331
130.284,0.113789,0.413615,0.45429,0.155281,0.271228,0.00634776,0.129167,0.251681,0.251505,0.195667,-0.0264319,0.476763,0.612819,0.113789,0.129167,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,60.7286,112.483,112.356,145.702,148.831,149.449,178.85,190.311,223.17,232.292,234.052,246.873,253.317,253.544,258.094,262.606,274.143,287.039,295.163,312.447,316.864,331.336,334.501,341.185,344.759,354.206,349.93,359.079,361.972,372.148,-0.319182,0.0622816,1.47859,0.243876,0.0240822,-0.165311,0.654327,-0.786838,-0.883764,-0.0026748,0.814451,0.416064,-1.5992,-1.85602,-2.15821,2.41853,0.108239,0.0562855,-0.251397,-1.42674,0.139143,-0.170927,0.0417012,0.538637,-1.14627,-1.00444,-2.69221,-0.833072,-3.85734,-4.32906,60.7447,112.266,113.096,144.814,149.043,150.157,180.145,189.924,223.292,229.958,232.481,247.369,253.177,255.26,257.548,263.507,275.732,289.279,293.861,310.175,315.57,331.797,335.78,340.456,347.524,351.34,354.47,362.01,365.359,370.283
130.956,0.111859,0.411707,0.451732,0.148661,0.270897,0.00640075,0.131523,0.249254,0.24849,0.189813,-0.0553366,0.483428,0.632871,0.111859,0.131523,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,61.0096,112.566,114.196,144.033,149.595,150.527,180.542,189.604,225.615,229.238,233.424,245.153,254.087,253.698,258.867,264.862,275.825,286.558,292.286,311.474,315.504,332.494,337.649,339.015,346.832,352.526,359.16,362.022,363.939,367.379,-0.447609,0.376599,1.3564,0.218404,-0.0137308,-0.247325,0.610312,-0.820188,-1.09079,0.270844,1.0676,0.638889,-1.29628,-1.75013,-2.3696,2.96047,0.278444,0.418169,-0.0274586,-1.43728,0.160972,0.247686,0.63818,1.2108,-0.434065,0.236967,-2.17811,0.166217,-3.0142,-3.17745,60.8731,111.951,113.219,144.84,149.081,150.239,180.189,189.957,223.499,229.684,232.227,247.146,252.874,255.154,257.76,262.966,275.562,288.917,293.637,310.185,315.548,331.378,335.184,339.784,346.812,350.099,353.956,361.011,364.516,369.131
