# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 0
# model = rus
# method = optimize
#   optimize
#     algorithm = lbfgs (Default)
#       lbfgs
#         init_alpha = 0.001 (Default)
#         tol_obj = 9.9999999999999998e-13 (Default)
#         tol_rel_obj = 10000 (Default)
#         tol_grad = 1e-08 (Default)
#         tol_rel_grad = 10000000 (Default)
#         tol_param = 1e-08 (Default)
#         history_size = 5 (Default)
#     iter = 500
#     save_iterations = 1
#     laplace_draws = 250
#     laplace_diag_shift = 0 (Default)
# id = 0 (Default)
# data
#   file = VB-LA_datafiles_VB4-v1/datafile_VB4-v1_50N.dat
# init = init-cij-tbc1.dat
# random
#   seed = 1299795775 (Default)
# output
#   file = VB-LA_outputs_VB4-v1/output_VB4-v1_50N_init-cij-tbc1_1.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,c44_coat,c11_coat,c33_coat,c12_coat,c13_coat,sigma,c66_coat,ct1_coat,Ep,Et,vp,vtp,vpt,Gt,Gp,Csub.1.1,Csub.2.1,Csub.3.1,Csub.4.1,Csub.5.1,Csub.6.1,Csub.1.2,Csub.2.2,Csub.3.2,Csub.4.2,Csub.5.2,Csub.6.2,Csub.1.3,Csub.2.3,Csub.3.3,Csub.4.3,Csub.5.3,Csub.6.3,Csub.1.4,Csub.2.4,Csub.3.4,Csub.4.4,Csub.5.4,Csub.6.4,Csub.1.5,Csub.2.5,Csub.3.5,Csub.4.5,Csub.5.5,Csub.6.5,Csub.1.6,Csub.2.6,Csub.3.6,Csub.4.6,Csub.5.6,Csub.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,yhat.16,yhat.17,yhat.18,yhat.19,yhat.20,yhat.21,yhat.22,yhat.23,yhat.24,yhat.25,yhat.26,yhat.27,yhat.28,yhat.29,yhat.30,yhat.31,yhat.32,yhat.33,yhat.34,yhat.35,yhat.36,yhat.37,yhat.38,yhat.39,yhat.40,yhat.41,yhat.42,yhat.43,yhat.44,yhat.45,yhat.46,yhat.47,yhat.48,yhat.49,yhat.50,residual.1,residual.2,residual.3,residual.4,residual.5,residual.6,residual.7,residual.8,residual.9,residual.10,residual.11,residual.12,residual.13,residual.14,residual.15,residual.16,residual.17,residual.18,residual.19,residual.20,residual.21,residual.22,residual.23,residual.24,residual.25,residual.26,residual.27,residual.28,residual.29,residual.30,residual.31,residual.32,residual.33,residual.34,residual.35,residual.36,residual.37,residual.38,residual.39,residual.40,residual.41,residual.42,residual.43,residual.44,residual.45,residual.46,residual.47,residual.48,residual.49,residual.50,calcfq.1,calcfq.2,calcfq.3,calcfq.4,calcfq.5,calcfq.6,calcfq.7,calcfq.8,calcfq.9,calcfq.10,calcfq.11,calcfq.12,calcfq.13,calcfq.14,calcfq.15,calcfq.16,calcfq.17,calcfq.18,calcfq.19,calcfq.20,calcfq.21,calcfq.22,calcfq.23,calcfq.24,calcfq.25,calcfq.26,calcfq.27,calcfq.28,calcfq.29,calcfq.30,calcfq.31,calcfq.32,calcfq.33,calcfq.34,calcfq.35,calcfq.36,calcfq.37,calcfq.38,calcfq.39,calcfq.40,calcfq.41,calcfq.42,calcfq.43,calcfq.44,calcfq.45,calcfq.46,calcfq.47,calcfq.48,calcfq.49,calcfq.50
-7867.23,0.15,0.5,0.5,0.1,0.1,0.005,0.2,0.48,0.466667,0.466667,0.166667,0.166667,0.166667,0.15,0.2,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,65.0371,120.055,122.384,153.87,154.002,157.477,184.908,196.212,237.498,239.941,243.284,261.415,260.853,266.542,273.846,279.633,286.979,303.259,308.363,331.127,345.005,353.005,358.175,365.241,371.838,384.635,391.156,394.332,395.862,406.399,417.927,417.79,426.17,438.736,443.893,441.884,449.596,449.655,446.182,457.452,462.397,463.481,470.687,474.735,484.486,481.013,485.311,493.234,488.34,499.154,-4.51709,-6.07029,-7.30985,-7.95078,-5.95095,-8.15862,-4.84522,-6.47004,-15.0568,-10.9618,-10.5177,-11.4726,-10.0551,-13.2329,-14.7395,-15.7131,-9.76287,-14.2515,-15.7823,-23.3424,-24.8172,-23.1437,-24.3741,-23.6127,-26.168,-33.2321,-36.9672,-32.8605,-32.9225,-38.8953,-45.5604,-43.0928,-44.2674,-51.1866,-50.1148,-46.9606,-50.154,-49.4459,-49.5658,-53.2655,-54.4057,-54.8168,-51.5679,-57.423,-55.0756,-56.0382,-52.3731,-54.6052,-54.7458,-57.0846,64.9426,118.398,121.885,153.009,155.018,158.151,185.644,195.607,237.465,240.917,243.813,259.258,261.633,266.637,270.129,281.639,285.603,303.587,309.392,332.09,340.526,354.77,360.196,364.608,372.546,383.568,388.745,394.037,394.425,404.849,415.996,418.307,427.994,437.819,440.874,442.347,447.737,450.332,451.887,455.628,461.781,463.657,467.515,475.449,479.233,483.048,484.959,489.483,491.922,497.061
-458.032,0.127675,0.44483,0.474473,0.255479,0.158569,0.00567434,0.0946754,0.391836,0.2872,0.402665,0.51676,0.226427,0.161499,0.127675,0.0946754,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,58.5985,111.861,121.273,145.395,146.969,149.162,177.649,190.719,220.292,234.774,237.48,251.708,254.71,253.289,264.251,273.782,280.398,294.373,297.08,307.236,314.537,330.996,340.828,345.091,350.461,352.231,360.317,374.212,381.132,383.832,388.636,396.161,399.891,399.321,408.292,411.628,412.558,416.063,424.712,421.819,420.497,426.245,426.387,444.51,439.859,445.6,447.436,451.282,460.106,456.952,1.81666,1.15666,-6.56018,0.420473,0.784474,0.922439,1.16194,-0.150889,2.04629,-5.58921,-4.70261,-1.11918,-1.08301,-1.29959,-5.68225,-7.99176,-2.83439,-3.49963,-1.89863,0.588492,1.20697,-2.08295,-5.55294,-3.30838,-5.01923,-3.11706,-11.5639,-9.45221,-17.5945,-18.1564,-15.3402,-18.0664,-15.1987,-15.0971,-15.8509,-13.0051,-14.0218,-13.8841,-17.5696,-19.0305,-16.3294,-16.3899,-13.7235,-21.0414,-18.3407,-20.577,-15.4164,-16.8617,-15.6708,-15.2142,58.6088,111.171,121.135,144.638,148.283,149.07,179.637,189.288,220.362,235.544,237.998,248.904,252.661,254.704,261.072,273.918,278.674,292.835,295.509,308.16,314.502,333.709,341.375,344.303,351.397,353.453,363.342,370.629,379.096,384.11,385.776,393.28,398.926,401.729,406.61,408.391,411.605,414.77,419.891,421.392,423.704,425.23,429.671,439.067,442.498,447.587,448.002,451.74,452.847,455.19
-83.5781,0.124418,0.435925,0.47061,0.302649,0.169112,0.00568167,0.0666378,0.375155,0.219205,0.393167,0.644745,0.228971,0.12766,0.124418,0.0666378,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,56.616,108.552,121.87,140.378,145.556,146.512,176.204,186.92,214.596,235.42,235.959,242.436,248.947,251.314,259.377,270.34,276.61,286.16,292.057,296.413,305.086,325.242,334.332,333.517,338.576,346.159,355.567,356.882,370.934,371.223,377.464,384.277,384.462,389.422,389.037,395.122,392.771,400.171,408.683,411.514,414.773,417.596,417.96,420.86,422.33,426.387,429.369,434.34,435.258,435.383,3.93056,3.52757,-6.3852,4.03933,3.75042,3.06156,2.9922,1.8687,8.6068,-3.1963,-2.29895,5.84631,3.14124,0.920493,-3.81026,-3.71755,-0.618386,1.64656,3.0129,9.91303,11.2716,5.82734,3.85493,6.70141,7.2028,6.53445,0.407846,4.06158,-9.08449,-5.13077,-7.52254,-5.68915,-1.22822,-3.11231,-0.690444,-1.74609,-0.386287,2.01065,-5.10195,-10.286,-8.17491,-7.32973,-0.714041,-3.36852,-0.937541,0.692633,3.71586,3.28889,3.13655,2.97307,56.4949,108.8,120.96,141.019,145.317,146.93,177.807,187.268,213.801,233.151,235.594,241.939,248.437,252.484,259.2,269.644,276.458,287.688,290.597,298.835,304.437,325.799,331.967,334.294,339.175,343.802,351.37,357.115,370.586,371.085,377.959,380.903,384.955,389.744,391.449,397.132,397.969,398.875,407.423,412.648,415.55,416.17,416.661,421.395,425.095,426.317,428.87,431.589,434.039,437.003
-67.093,0.124437,0.43621,0.470631,0.299143,0.169226,0.0056875,0.0685335,0.375361,0.224083,0.392743,0.63484,0.230129,0.131302,0.124437,0.0685335,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,56.4578,108.6,120.83,138.754,145.04,148.11,176.809,185.935,214.588,232.166,233.264,242.796,249.343,251.319,258.479,270.995,274.806,286.595,292.567,299.04,304.667,325.181,333.632,333.752,343.756,341.61,352.139,360.594,373.761,372.841,381.041,383.195,382.843,389.387,390.271,398.012,398.388,398.909,409.829,415.771,418.191,416.916,417.248,424.359,429.517,428.138,425.767,433.877,436.019,435.735,3.78023,3.36056,-6.36619,3.77943,3.49797,2.95536,2.86963,1.73149,8.13539,-3.36292,-2.46591,5.3097,2.86202,0.789318,-3.91503,-4.05303,-0.760408,1.26611,2.65104,9.30806,10.5982,5.306,3.03618,5.96936,6.25879,5.94895,-0.497666,3.03166,-9.87355,-6.19592,-7.91836,-6.68394,-2.19652,-3.936,-1.6466,-2.66558,-1.09079,1.25713,-5.81541,-11.075,-8.69942,-8.08991,-1.45985,-4.90868,-2.25073,-0.545809,2.43933,2.35064,1.08322,1.5171,56.6453,108.967,120.941,141.279,145.569,147.037,177.929,187.406,214.273,233.318,235.761,242.475,248.716,252.615,259.305,269.979,276.6,288.069,290.959,299.44,305.111,326.32,332.786,335.026,340.119,344.387,352.276,358.145,371.376,372.15,378.354,381.898,385.924,390.568,392.406,398.052,398.674,399.629,408.136,413.437,416.074,416.93,417.407,422.935,426.408,427.556,430.147,432.527,436.093,438.459
-45.9955,0.124057,0.436044,0.470175,0.292329,0.171009,0.00571274,0.0718576,0.373846,0.232183,0.389875,0.615577,0.234782,0.13982,0.124057,0.0718576,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,56.6408,109.27,120.642,140.656,144.424,147.969,177.507,188.416,216.19,233.322,234.957,241.683,248.633,253.226,261.272,270.573,277.476,288.8,290.803,299.602,304.171,326.57,336.697,336.217,341.613,342.189,354.541,357.337,375.026,371.578,378.944,387.468,388.526,388.384,392.48,401.829,396.604,399.676,407.868,415.817,421.38,418.939,418.386,428.053,431.207,430.478,429.719,436.107,437.802,443.253,3.52116,3.07444,-6.25118,3.35599,3.08557,2.77079,2.67111,1.5087,7.36048,-3.58029,-2.66917,4.42513,2.43447,0.589947,-4.00787,-4.51789,-0.946291,0.689888,2.11625,8.34139,9.53842,4.52935,1.82476,4.86079,4.80034,5.10507,-1.89238,1.45023,-10.8949,-7.8398,-8.28847,-8.07088,-3.60161,-5.0753,-3.01025,-3.85923,-2.06657,0.143469,-6.70245,-11.8186,-9.14045,-8.89051,-2.29388,-7.33492,-3.91567,-2.56672,0.489122,0.925343,-1.92206,-0.712325,56.9043,109.254,120.826,141.702,145.981,147.221,178.128,187.628,215.048,233.535,235.964,243.36,249.144,252.814,259.398,270.444,276.786,288.645,291.494,300.407,306.171,327.097,333.997,336.134,341.578,345.231,353.67,359.727,372.397,373.794,378.724,383.285,387.329,391.707,393.769,399.245,399.65,400.743,409.023,414.181,416.515,417.731,418.241,425.361,428.073,429.577,432.097,433.953,439.098,440.688
-20.7305,0.122854,0.434717,0.468734,0.282006,0.176186,0.00577139,0.0763555,0.368492,0.242135,0.382113,0.585579,0.245822,0.155771,0.122854,0.0763555,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,56.9883,109.716,121.974,142.311,146.967,147.22,178.335,186.723,217.223,233.77,235.345,244.913,250.153,253.264,260.234,271.671,275.27,290.135,294.771,298.065,303.524,327.271,336.568,336.215,342.382,344.661,353.602,361.759,370.697,375.791,377.108,383.282,387.742,392.747,398.281,397.104,399.466,401.533,409.287,415.523,414.143,418.188,414.834,426.198,427.827,432.516,435.049,432.86,440.261,438.614,3.1796,2.7004,-5.94547,2.8453,2.589,2.52099,2.4322,1.23931,6.40608,-3.73532,-2.78223,3.3417,1.95773,0.3717,-3.97025,-4.91134,-1.08365,0.0740583,1.56833,7.19536,8.31332,3.71015,0.605849,3.64944,3.17802,4.27429,-3.40754,-0.265856,-11.5915,-9.67522,-8.26828,-9.23886,-4.95973,-6.07565,-4.304,-4.32349,-3.16244,-1.23093,-7.31586,-11.6201,-8.94868,-9.12105,-2.78126,-9.74368,-5.41055,-5.03491,-0.924052,-1.13433,-4.47424,-2.76369,57.2459,109.628,120.52,142.213,146.478,147.471,178.367,187.898,216.002,233.69,236.077,244.443,249.62,253.032,259.36,270.837,276.924,289.261,292.042,301.553,307.396,327.916,335.216,337.346,343.2,346.062,355.186,361.443,373.093,375.629,378.704,384.453,388.687,392.708,395.063,399.709,400.745,402.117,409.637,413.982,416.324,417.961,418.728,427.77,429.568,432.045,433.51,436.012,441.65,442.74
41.4259,0.119021,0.429899,0.464107,0.256764,0.193222,0.00594508,0.0865677,0.349455,0.260492,0.355364,0.504556,0.281393,0.206269,0.119021,0.0865677,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,58.4339,110.838,119.08,143.837,147.608,148.677,179.893,188.369,217.654,233.883,234.903,243.726,251.853,252.138,257.795,270.125,278.092,291.76,291.456,304.182,308.874,328.924,338.563,341.955,344.188,347.681,357.606,366.438,378.711,382.857,375.863,389.532,391.379,395.787,395.37,397.821,397.797,405.433,415.422,410.884,409.793,416.934,413.389,428.215,435.638,433.65,432.461,438.871,443.094,443.29,2.43709,1.89703,-4.87894,1.88312,1.69132,1.91894,1.96611,0.710785,4.50646,-3.69542,-2.62837,1.3498,1.01003,-0.0239275,-3.4922,-5.07759,-1.11392,-0.861945,0.762624,4.94351,6.0069,2.33545,-0.946067,1.61571,0.437742,3.03202,-5.6665,-2.82994,-11.1923,-11.6482,-8.3113,-9.78934,-6.62228,-6.92202,-6.02053,-4.01938,-4.30636,-4.02945,-7.54123,-8.82597,-7.0659,-7.72173,-3.12825,-11.0284,-8.22209,-8.00286,-3.17492,-4.78526,-5.97409,-4.30444,57.9884,110.431,119.454,143.175,147.376,148.073,178.833,188.426,217.902,233.65,235.923,246.435,250.568,253.428,258.882,271.004,276.954,290.197,292.847,303.804,309.702,329.291,336.768,339.379,345.94,347.304,357.445,364.007,372.694,377.602,378.747,385.003,390.349,393.554,396.78,399.405,401.889,404.915,409.862,411.188,414.441,416.562,419.075,429.054,432.379,435.013,435.761,439.663,443.15,444.28
216.997,0.10573,0.412356,0.447637,0.168263,0.262179,0.00660844,0.122046,0.258799,0.257963,0.210863,0.0568272,0.45155,0.552411,0.10573,0.122046,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,59.7791,112.86,111.964,145.951,148.982,149.965,182.461,189.476,224.087,232.345,232.718,248.358,252.319,254.726,255.21,267.863,273.602,288.582,292.991,308.585,311.765,327.993,330.558,335.833,342.468,352.685,348.672,365.48,366.373,363.699,374.1,374.3,381.088,389.585,394.161,398.762,391.531,398.952,402.635,407.58,409.886,410.529,410.288,416.539,420.017,424.085,432.777,430.142,433.777,438.506,0.159121,-0.360835,1.42867,0.5393,0.309401,0.198374,1.01364,-0.366744,0.151849,-0.144198,0.74836,0.885869,-1.43306,-1.15909,-0.600235,1.51378,0.677107,0.724674,0.889001,0.539257,2.08303,1.60423,2.05073,2.40418,0.722015,0.633062,0.896886,1.50758,-0.971501,-1.54839,-4.40877,-3.04678,0.257974,-3.49953,0.27927,2.82932,3.82597,4.45517,3.97285,-0.420162,0.952045,-2.35976,4.10182,3.46696,4.73484,5.93491,4.82751,4.58401,0.969383,1.67883,60.2664,112.689,113.146,144.519,148.758,149.794,179.785,189.504,222.256,230.099,232.547,246.899,253.011,254.563,255.99,264.412,275.163,288.61,292.721,308.209,313.626,330.022,333.771,338.591,345.656,349.703,350.881,359.669,362.474,367.502,374.845,378.261,383.469,390.132,390.48,392.557,393.757,396.431,398.348,402.782,406.423,411.2,411.845,414.559,419.422,421.075,427.758,430.294,436.207,438.297
224.046,0.10668,0.413723,0.448924,0.175882,0.25473,0.00655198,0.118921,0.269183,0.265534,0.228819,0.116433,0.432035,0.501356,0.10668,0.118921,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,59.8014,112.442,114.83,145.218,148.701,148.49,179.625,188.067,223.128,230.701,232.543,244.647,253.592,252.035,259.339,266.242,276.053,287.074,293.431,310.74,315.408,327.678,332.915,338.508,346.391,344.167,351.975,359.814,361.098,367.773,377.212,375.742,384.131,389.518,401.088,395.167,395.888,397.381,399.179,404.469,411.118,413.083,413.389,421.099,425.905,425.817,425.711,434.319,439.04,435.638,0.341977,-0.211959,0.600903,0.465125,0.299284,0.272538,1.0285,-0.350133,0.33869,-0.779286,0.152741,0.473274,-1.81464,-1.19529,-0.544603,0.197694,0.331534,0.104792,0.531055,0.505092,1.93797,1.06426,1.05345,1.4686,0.0135295,0.348271,-1.23643,0.0447147,-2.18085,-3.15412,-5.65322,-4.38144,-1.12361,-4.73433,-2.10489,0.723446,2.06087,3.22012,2.00013,-2.26201,0.110978,-4.16928,2.3636,1.38818,2.72106,3.87201,1.2594,1.94659,-0.0232214,-0.43063,60.0835,112.54,113.974,144.593,148.768,149.719,179.77,189.487,222.069,230.734,233.142,247.312,253.393,254.599,255.935,265.728,275.508,289.23,293.079,308.243,313.771,330.562,334.769,339.526,346.364,349.988,353.014,361.132,363.683,369.108,376.089,379.595,384.851,391.366,392.864,394.663,395.522,397.666,400.321,404.624,407.264,413.009,413.583,416.638,421.436,423.138,431.327,432.931,437.199,440.407
229.451,0.101752,0.410041,0.444446,0.151176,0.238993,0.00671189,0.129433,0.281528,0.279703,0.240898,0.0804958,0.425847,0.494446,0.101752,0.129433,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,60.4854,113.762,114.341,144.746,150.34,150.745,180.774,187.937,224.548,229.496,235.598,250.063,255.254,255.707,255.623,265.938,274.178,289.922,292.452,307.919,318.601,331.777,335.439,342.477,347.392,352.888,359.207,364.09,360.697,365.009,372.115,378.413,390.232,385.544,388.397,391.455,393.104,396.444,400.794,406.128,407.787,410.728,414.784,415.899,426.463,423.308,431.648,433.738,436.74,440.564,-0.274836,-0.933824,0.393063,-0.445268,-0.388429,-0.435354,0.476201,-0.890465,-1.4241,-1.16682,-0.33816,-0.160059,-2.11917,-2.0629,-1.5504,-0.497765,-0.0844749,-0.438905,-0.41052,-1.62554,-0.434802,-0.499748,0.317952,0.607623,-0.923866,-0.575984,-0.927732,0.342834,-1.82876,-2.29157,-2.9477,-2.10087,-1.2158,-0.299492,-2.59625,1.21792,2.10137,1.30634,1.99769,-1.60258,-0.375568,-2.45575,2.3467,0.281328,1.21526,2.37212,1.71943,1.28595,-0.753555,-0.313046,60.7003,113.262,114.182,145.503,149.455,150.427,180.323,190.027,223.832,231.122,233.633,247.945,253.697,255.467,256.94,266.424,275.924,289.774,294.021,310.374,316.144,332.126,335.504,340.387,347.302,350.912,352.706,360.834,363.331,368.246,373.384,377.315,384.943,386.931,393.355,394.168,395.482,399.58,400.323,403.965,407.751,411.296,413.6,417.745,422.942,424.638,430.867,433.592,437.93,440.289
